#BLOCK:	ACTUAL_T:	T_AVE:	ERROR:
1	0.797641	0.797641	0
2	0.794365	0.796003	0.00115838
3	0.79521	0.795739	0.000801879
4	0.793788	0.795251	0.000734927
5	0.795806	0.795362	0.000596277
6	0.792838	0.794941	0.000627983
7	0.790716	0.794338	0.000775906
8	0.802371	0.795342	0.00115897
9	0.789202	0.79466	0.00121448
10	0.796875	0.794881	0.00111306
11	0.796433	0.795022	0.00102077
12	0.798219	0.795289	0.000969833
13	0.794052	0.795194	0.000899884
14	0.795451	0.795212	0.000835795
15	0.796974	0.795329	0.000788288
16	0.794041	0.795249	0.000743123
17	0.795298	0.795252	0.000699416
18	0.798319	0.795422	0.000681008
19	0.79706	0.795508	0.000650599
20	0.795389	0.795502	0.000618096
