#BLOCK:	ACTUAL_KE:	KE_AVE:	ERROR:
1	1.19646	1.19646	0
2	1.19155	1.194	0.00173756
3	1.19281	1.19361	0.00120282
4	1.19068	1.19288	0.00110239
5	1.19371	1.19304	0.000894415
6	1.18926	1.19241	0.000941974
7	1.18607	1.19151	0.00116386
8	1.20356	1.19301	0.00173846
9	1.1838	1.19199	0.00182172
10	1.19531	1.19232	0.00166959
11	1.19465	1.19253	0.00153115
12	1.19733	1.19293	0.00145475
13	1.19108	1.19279	0.00134983
14	1.19318	1.19282	0.00125369
15	1.19546	1.19299	0.00118243
16	1.19106	1.19287	0.00111469
17	1.19295	1.19288	0.00104912
18	1.19748	1.19313	0.00102151
19	1.19559	1.19326	0.000975898
20	1.19308	1.19325	0.000927145
