#BLOCK:	ACTUAL_KE:	KE_AVE:	ERROR:
1	1.18923	1.18923	0
2	1.18456	1.1869	0.00164817
3	1.18481	1.1862	0.00123632
4	1.18555	1.18604	0.000937856
5	1.18481	1.18579	0.000781682
6	1.19272	1.18695	0.00123924
7	1.18655	1.18689	0.00106348
8	1.1913	1.18744	0.00106387
9	1.18476	1.18714	0.000986608
10	1.18269	1.1867	0.000983192
11	1.18368	1.18643	0.000931354
12	1.18759	1.18652	0.000858757
13	1.18105	1.1861	0.000889848
14	1.18614	1.1861	0.000826291
15	1.18465	1.18601	0.000776852
16	1.1867	1.18605	0.000729492
17	1.18984	1.18627	0.000719765
18	1.18649	1.18628	0.000679878
19	1.18817	1.18638	0.000651303
20	1.18713	1.18642	0.000619816
