#BLOCK:	ACTUAL_KE:	KE_AVE:	ERROR:
1	1.14099	1.14099	0
2	1.13808	1.13953	0.00102608
3	1.136	1.13836	0.00118045
4	1.14159	1.13916	0.00112829
5	1.13578	1.13849	0.00108716
6	1.14361	1.13934	0.00119547
7	1.14003	1.13944	0.00102868
8	1.13716	1.13915	0.000938837
9	1.13371	1.13855	0.00101074
10	1.13977	1.13867	0.000917067
11	1.1401	1.1388	0.000842817
12	1.13731	1.13868	0.000781656
13	1.13741	1.13858	0.000727562
14	1.14206	1.13883	0.000716759
15	1.13299	1.13844	0.000767358
16	1.13895	1.13847	0.000720054
17	1.13075	1.13802	0.000808398
18	1.13691	1.13795	0.000765839
19	1.13386	1.13774	0.000755281
20	1.14338	1.13802	0.000768318
