N_BLOCK:	ACCEPTANCE:
51	0.510054
1	1
5	1
56	0.496602
2	1
52	0.510097
6	1
3	1
82	1
7	1
57	0.496604
87	0.630707
53	0.510071
4	1
8	1
88	0.630728
5	1
83	1
9	1
58	0.496616
54	0.510041
6	1
89	0.630748
10	1
84	1
7	1
11	1
59	0.496613
90	0.630749
55	0.510008
8	1
12	1
85	1
91	0.630781
9	1
13	1
60	0.496604
56	0.510023
10	1
92	0.630773
14	1
86	1
61	0.496607
11	1
15	1
93	0.630803
57	0.510042
16	1
12	1
87	1
94	0.630814
62	0.496584
17	1
13	1
58	0.510057
88	1
18	1
95	0.630793
14	1
63	0.496593
19	1
15	1
59	0.510049
96	0.630793
89	1
20	1
16	1
97	0.63078
60	0.510055
17	1
18	1
61	0.510042
19	1
20	1
62	0.510036
63	0.510046
