67	1.2	1.2	7.72359e-09
93	1.95449	1.8431	0.00384665
68	1.2	1.2	7.66658e-09
94	1.86755	1.84336	0.00381451
64	1.65	1.65	3.72529e-09
5	1.61404	1.63799	0.0177536
10	1.36707	1.3706	0.00183466
69	1.2	1.2	7.61083e-09
95	1.86187	1.84355	0.00377933
6	1.62271	1.63544	0.0149763
11	1.37102	1.37064	0.00166827
65	1.65	1.65	3.69652e-09
7	1.61753	1.63288	0.0130535
12	1.38038	1.37145	0.00171545
96	1.77109	1.8428	0.00381461
70	1.2	1.2	7.76333e-09
13	1.37164	1.37147	0.00158355
8	1.6018	1.629	0.0119862
66	1.65	1.65	4.49287e-09
14	1.36817	1.37123	0.00148789
9	1.63528	1.62969	0.0106747
97	1.78859	1.84224	0.003816
71	1.2	1.2	7.70846e-09
15	1.36347	1.37071	0.0014759
10	1.59875	1.6266	0.0100457
67	1.65	1.65	4.45921e-09
16	1.3721	1.3708	0.0013862
11	1.61837	1.62585	0.00916024
98	1.8198	1.84201	0.00378393
72	1.2	1.2	8.04755e-09
17	1.37817	1.37123	0.00137081
68	1.65	1.65	4.4263e-09
12	1.60076	1.62376	0.00863229
18	1.36765	1.37103	0.00130905
99	1.83931	1.84198	0.00374581
13	1.60769	1.62252	0.00805626
73	1.2	1.2	7.99224e-09
19	1.37511	1.37125	0.00125757
69	1.65	1.65	5.07388e-09
14	1.63674	1.62354	0.00754453
20	1.37066	1.37122	0.00119504
100	1.82935	1.84186	0.00371048
15	1.62058	1.62334	0.00704415
74	1.2	1.2	7.93805e-09
70	1.65	1.65	5.03751e-09
16	1.60929	1.62246	0.00665839
17	1.60074	1.62119	0.00638817
71	1.65	1.65	5.00191e-09
18	1.59941	1.61998	0.00614675
