#BLOCK:	ACTUAL_P:	P_AVE:	ERROR:
1	1.42542	1.42542	0
2	1.42066	1.42304	0.00168385
3	1.41619	1.42076	0.00217503
4	1.41372	1.419	0.00223197
5	1.41699	1.4186	0.00182129
6	1.42838	1.42023	0.00212535
7	1.42253	1.42056	0.00184701
8	1.42012	1.4205	0.00161694
9	1.42401	1.42089	0.00148347
10	1.42196	1.421	0.00133893
11	1.42337	1.42121	0.00123447
12	1.42021	1.42113	0.00113445
13	1.41516	1.42067	0.00113638
14	1.42017	1.42063	0.00105577
15	1.42428	1.42088	0.00101303
16	1.42834	1.42134	0.0010517
17	1.42172	1.42137	0.000990068
18	1.4215	1.42137	0.000935093
19	1.42236	1.42143	0.000887313
20	1.42024	1.42137	0.000844911
