N_BLOCK:	ACCEPTANCE:
19	0.509847
1	1
2	1
20	0.509819
3	1
4	1
21	0.509867
48	1
5	1
5	1
6	1
6	1
45	0.630886
22	0.509864
49	1
7	1
7	1
46	0.630857
8	1
27	0.496624
8	1
23	0.509863
50	1
9	1
9	1
47	0.630817
10	1
28	0.496587
51	1
24	0.509896
10	1
11	1
11	1
48	0.630787
29	0.496551
12	1
52	1
25	0.509893
12	1
13	1
49	0.630787
13	1
53	1
30	0.496553
14	1
26	0.509834
14	1
15	1
50	0.630807
15	1
54	1
31	0.496555
16	1
27	0.509886
16	1
51	0.630793
17	1
55	1
17	1
32	0.496574
18	1
28	0.509863
52	0.630805
18	1
19	1
56	1
33	0.49657
19	1
20	1
29	0.509875
57	1
34	0.49658
30	0.509921
58	1
31	0.509885
59	1
60	1
