N_BLOCK:	ACCEPTANCE:
1	1
69	1
2	1
70	1
5	1
3	1
6	1
4	1
72	0.630719
71	1
7	1
5	1
43	0.510142
73	0.630698
8	1
6	1
72	1
9	1
74	0.630679
48	0.496601
7	1
44	0.510161
10	1
73	1
75	0.630682
8	1
11	1
49	0.496595
9	1
45	0.510123
76	0.630677
12	1
74	1
10	1
13	1
50	0.496609
77	0.630689
46	0.510085
11	1
14	1
75	1
78	0.630691
12	1
15	1
51	0.4966
47	0.510067
13	1
76	1
16	1
79	0.630704
14	1
17	1
52	0.496621
80	0.630709
48	0.51002
77	1
15	1
18	1
81	0.630718
19	1
16	1
53	0.496626
49	0.510038
78	1
20	1
17	1
82	0.630709
54	0.496628
18	1
79	1
50	0.510044
19	1
55	0.496615
80	1
20	1
81	1
