#BLOCK:	ACTUAL_KE:	KE_AVE:	ERROR:
5	1.27417	1.27489	0.00130866
1	1.65035	1.65035	0
6	1.27583	1.27505	0.00109979
2	1.57384	1.61209	0.0270504
7	1.27919	1.27564	0.00109033
32	1.80252	1.8362	0.00555825
3	1.57995	1.60138	0.0200426
8	1.28308	1.27657	0.00129092
4	1.55205	1.58905	0.0184395
33	1.85537	1.83678	0.00542009
9	1.27591	1.27649	0.00114953
5	1.55264	1.58177	0.0161252
10	1.26968	1.27581	0.00122017
34	1.81409	1.83611	0.0053016
6	1.55338	1.57704	0.0141145
11	1.28126	1.27631	0.00120538
7	1.53991	1.57173	0.0130567
12	1.27262	1.276	0.00114338
35	1.87234	1.83715	0.00525021
8	1.5571	1.5699	0.0115521
13	1.28013	1.27632	0.00109863
9	1.50381	1.56256	0.0123843
14	1.2762	1.27631	0.00102019
36	1.83491	1.83709	0.00510474
10	1.53831	1.56013	0.0113808
15	1.27775	1.27641	0.000956665
11	1.54539	1.55879	0.0104248
37	1.8341	1.83701	0.00496741
16	1.27755	1.27648	0.00089952
12	1.57456	1.56011	0.00963846
17	1.26941	1.27606	0.000937809
38	1.8623	1.83767	0.00488108
13	1.54709	1.55911	0.00894886
18	1.27885	1.27622	0.00089838
14	1.53234	1.55719	0.00851149
19	1.27345	1.27607	0.000862851
39	1.89073	1.83903	0.00494192
15	1.53975	1.55603	0.00802313
20	1.28095	1.27631	0.00085347
16	1.54519	1.55535	0.00755027
17	1.56059	1.55566	0.00711242
18	1.53589	1.55456	0.00680155
19	1.53628	1.5536	0.00651129
20	1.54127	1.55298	0.00621483
