#BLOCK:	ACTUAL_PE:	PE_AVE:	ERROR:
1	-6.78079	-6.78079	0
2	-6.77884	-6.77981	0.000689084
3	-6.77505	-6.77822	0.00137556
4	-6.77849	-6.77829	0.00103333
5	-6.78059	-6.77875	0.000923349
6	-6.77859	-6.77872	0.000769831
7	-6.77266	-6.77786	0.00103869
8	-6.7789	-6.77799	0.000916919
9	-6.78248	-6.77849	0.000941284
10	-6.7781	-6.77845	0.000847946
11	-6.78204	-6.77878	0.000831319
12	-6.77918	-6.77881	0.000762738
13	-6.77028	-6.77815	0.00094488
14	-6.77027	-6.77759	0.0010318
15	-6.78128	-6.77784	0.000991898
16	-6.77567	-6.7777	0.000939092
17	-6.78096	-6.77789	0.000903226
18	-6.77994	-6.77801	0.00086017
19	-6.77621	-6.77791	0.000820053
20	-6.78171	-6.7781	0.000800699
