BLOCK	ACTUAL_P	P_AVE	ERROR
179	4.67973	4.98404	0.0242693
180	5.50568	4.98693	0.0243069
181	4.70636	4.98538	0.024222
182	5.33376	4.9873	0.0241644
183	4.97175	4.98721	0.0240325
184	4.99667	4.98726	0.0239019
185	5.18908	4.98836	0.0237976
186	4.77541	4.98721	0.0236972
187	4.71827	4.98577	0.0236141
188	4.96735	4.98567	0.0234887
189	4.89085	4.98517	0.0233698
190	5.5797	4.9883	0.0234553
191	4.94396	4.98807	0.0233336
192	5.02677	4.98827	0.023213
193	4.58013	4.98616	0.0231888
194	4.53322	4.98382	0.0231865
195	5.1086	4.98446	0.0230765
196	5.41054	4.98664	0.0230609
197	4.72643	4.98531	0.0229816
198	4.73334	4.98404	0.0229008
199	5.51859	4.98673	0.0229427
200	4.86144	4.9861	0.0228365
201	4.82813	4.98532	0.0227364
202	4.69289	4.98387	0.0226699
203	5.6125	4.98696	0.0227688
204	4.51572	4.98465	0.022774
205	4.81816	4.98384	0.0226774
206	5.04072	4.98412	0.022569
207	5.35602	4.98592	0.0225314
208	4.87835	4.9854	0.022429
209	4.90676	4.98502	0.0223248
210	5.04458	4.98531	0.0222203
211	4.72492	4.98407	0.0221493
212	4.83989	4.98339	0.0220552
213	4.97968	4.98337	0.0219517
214	5.03818	4.98363	0.0218506
215	5.04488	4.98391	0.0217508
216	4.86921	4.98338	0.0216566
217	4.498	4.98115	0.021672
218	5.19908	4.98215	0.0215956
219	4.40228	4.9795	0.0216587
220	5.15019	4.98027	0.0215742
221	5.01634	4.98044	0.0214772
222	5.18283	4.98135	0.0213998
223	4.72233	4.98019	0.0213353
224	4.9999	4.98028	0.0212402
225	5.40247	4.98215	0.0212286
226	5.14948	4.98289	0.0211475
227	5.16955	4.98372	0.0210704
228	5.05197	4.98401	0.0209801
229	4.57218	4.98222	0.0209654
230	4.6378	4.98072	0.0209277
231	4.95969	4.98063	0.0208373
232	4.84862	4.98006	0.0207552
233	4.87567	4.97961	0.020671
234	5.17599	4.98045	0.0205997
235	4.39967	4.97798	0.0206597
236	5.16159	4.97876	0.0205868
237	5.13628	4.97942	0.0205107
238	5.40337	4.9812	0.0205017
239	4.55586	4.97942	0.020493
240	4.81133	4.97872	0.0204196
241	5.11774	4.9793	0.020343
242	5.22488	4.98031	0.0202843
243	5.52019	4.98254	0.0203221
244	5.10289	4.98303	0.0202448
245	4.7915	4.98225	0.0201772
246	4.34618	4.97966	0.0202602
247	5.4978	4.98176	0.0202865
248	5.37778	4.98336	0.0202674
249	4.91964	4.9831	0.0201877
250	4.85564	4.98259	0.0201134
251	5.38779	4.9842	0.0200979
252	4.97006	4.98415	0.0200182
253	4.88431	4.98375	0.019943
254	5.07337	4.98411	0.0198676
255	4.57756	4.98251	0.0198536
256	5.1839	4.9833	0.0197916
257	5.08165	4.98368	0.0197183
258	5.25455	4.98473	0.0196698
259	5.01615	4.98485	0.0195942
260	5.132	4.98542	0.019527
261	5.03752	4.98562	0.0194532
262	4.91581	4.98535	0.0193808
263	5.10408	4.9858	0.0193124
264	5.44094	4.98753	0.019316
265	4.36495	4.98518	0.0193855
266	5.52827	4.98722	0.0194198
267	4.91837	4.98696	0.0193488
268	5.18362	4.9877	0.0192905
269	5.354	4.98906	0.0192668
270	5.38214	4.99051	0.0192503
271	4.98201	4.99048	0.0191793
272	5.16401	4.99112	0.0191194
273	5.07354	4.99142	0.0190518
274	5.10436	4.99183	0.0189867
275	4.69702	4.99076	0.0189479
276	4.1998	4.9879	0.0190947
277	5.23779	4.9888	0.0190471
278	5.06552	4.98907	0.0189806
279	4.93997	4.9889	0.0189134
280	5.56833	4.99097	0.0189587
281	5.1594	4.99157	0.0189007
282	5.16646	4.99219	0.0188439
283	4.53443	4.99057	0.0188466
284	4.57089	4.98909	0.0188381
285	5.09614	4.98947	0.0187757
286	4.95052	4.98933	0.0187105
287	5.54997	4.99129	0.018747
288	5.05713	4.99151	0.0186833
289	4.78772	4.99081	0.018632
290	5.17432	4.99144	0.0185785
291	4.57265	4.99	0.0185703
292	4.59398	4.98865	0.0185562
293	4.86237	4.98822	0.0184978
294	5.1995	4.98893	0.0184489
295	5.13013	4.98941	0.0183926
296	4.9877	4.98941	0.0183304
297	4.43777	4.98755	0.0183626
298	5.29011	4.98856	0.018329
299	4.86563	4.98815	0.0182723
300	4.50011	4.98653	0.0182837
301	5.95806	4.98975	0.0185056
302	4.50172	4.98814	0.0185148
303	4.65339	4.98703	0.0184866
304	5.04816	4.98723	0.0184269
305	4.61841	4.98603	0.0184061
306	5.31295	4.98709	0.0183769
307	4.88958	4.98678	0.0183198
308	4.61901	4.98558	0.0182992
309	4.59116	4.98431	0.0182845
310	5.34369	4.98546	0.0182622
311	4.81971	4.98493	0.0182112
312	5.23998	4.98575	0.0181712
313	5.34292	4.98689	0.018149
314	4.76052	4.98617	0.0181055
315	5.0826	4.98648	0.0180506
