BLOCK	ACTUAL_P	P_AVE	ERROR
1	4.12837	4.12837	0
2	5.19761	4.66299	0.378035
3	5.50341	4.94313	0.340344
4	5.09404	4.98086	0.257341
5	4.73001	4.93069	0.210706
6	5.30239	4.99264	0.184471
7	4.62512	4.94014	0.165421
8	5.5432	5.01552	0.161006
9	5.86603	5.11002	0.168584
10	4.93859	5.09288	0.152594
11	5.01614	5.0859	0.138882
12	5.07254	5.08479	0.127313
13	4.88795	5.06965	0.118416
14	4.59188	5.03552	0.11477
15	5.14674	5.04293	0.107358
16	5.08191	5.04537	0.100676
17	5.29683	5.06016	0.095834
18	4.75357	5.04313	0.0920111
19	4.69573	5.02484	0.0889666
20	4.891	5.01815	0.0847696
21	5.10267	5.02218	0.0808284
22	4.75479	5.01002	0.0780628
23	4.84269	5.00275	0.075007
24	4.98289	5.00192	0.0718863
25	5.50969	5.02223	0.0718228
26	5.20284	5.02918	0.0693955
27	4.81002	5.02106	0.0672984
28	5.04409	5.02188	0.0648999
29	4.54574	5.00546	0.0647055
30	4.88695	5.00151	0.0626691
31	4.868	4.99721	0.0607953
32	5.55259	5.01456	0.0613228
33	4.80025	5.00807	0.0598074
34	5.65348	5.02705	0.0609866
35	4.53901	5.01311	0.0608173
36	5.06197	5.01446	0.0591431
37	4.95635	5.01289	0.0575655
38	5.82065	5.03415	0.0598467
39	4.92607	5.03138	0.0583763
40	4.73005	5.02385	0.0574009
41	4.97047	5.02254	0.0560156
42	4.99057	5.02178	0.0546871
43	4.92605	5.01956	0.0534606
44	5.03248	5.01985	0.0522464
45	5.19775	5.0238	0.0512347
46	5.02046	5.02373	0.050121
47	4.94564	5.02207	0.0490821
48	5.36544	5.02922	0.0485781
49	4.52898	5.01901	0.0486476
50	4.9989	5.01861	0.0476763
51	5.39119	5.02592	0.0472979
52	4.76211	5.02084	0.0466596
53	4.76248	5.01597	0.0460332
54	4.65186	5.00923	0.0456719
55	4.52592	5.00044	0.045679
56	5.44006	5.00829	0.0455329
57	4.64149	5.00185	0.0451865
58	5.06193	5.00289	0.0444193
59	5.03051	5.00336	0.0436689
60	5.30656	5.00841	0.0432325
61	5.0516	5.00912	0.0425296
62	5.54101	5.0177	0.0427001
63	4.83084	5.01473	0.0421252
64	4.9577	5.01384	0.0414764
65	4.66605	5.00849	0.041182
66	4.91339	5.00705	0.0405832
67	5.22895	5.01036	0.0401124
68	5.22951	5.01358	0.0396518
69	4.58168	5.00732	0.0395681
70	5.17272	5.00969	0.0390733
71	4.95894	5.00897	0.0385296
72	4.87499	5.00711	0.0380393
73	4.28328	4.9972	0.038789
74	5.01833	4.99748	0.0382659
75	5.19436	5.00011	0.0378456
76	5.35912	5.00483	0.0376413
77	5.15425	5.00677	0.0372025
78	5.05722	5.00742	0.0367311
79	4.45653	5.00045	0.0369222
80	4.96528	5.00001	0.0364633
81	5.35925	5.00444	0.0362818
82	5.1872	5.00667	0.0359078
83	4.78185	5.00396	0.0355771
84	4.98667	5.00375	0.0351542
85	4.73667	5.00061	0.0348808
86	5.27998	5.00386	0.0346261
87	5.24859	5.00667	0.0343422
88	4.91316	5.00561	0.0339684
89	4.92749	5.00473	0.033598
90	5.05279	5.00527	0.033229
91	4.75053	5.00247	0.0329815
92	4.86915	5.00102	0.0326548
93	4.99136	5.00092	0.0323039
94	4.89838	4.99982	0.0319786
95	4.5228	4.9948	0.0320338
96	4.49029	4.98955	0.0321283
97	4.7803	4.98739	0.0318695
98	4.96375	4.98715	0.0315452
99	5.15449	4.98884	0.0312718
100	4.76871	4.98664	0.0310364
101	4.86186	4.9854	0.0307537
102	5.35266	4.989	0.0306623
103	5.40347	4.99303	0.0306275
104	4.96699	4.99278	0.030334
105	4.27464	4.98594	0.0308065
106	4.754	4.98375	0.0305935
107	5.12637	4.98508	0.0303366
108	4.95257	4.98478	0.0300572
109	4.72014	4.98235	0.0298793
110	4.74093	4.98016	0.0296882
111	5.06567	4.98093	0.0294307
112	5.21703	4.98304	0.0292434
113	5.35539	4.98633	0.0291696
114	5.16236	4.98788	0.0289546
115	4.53383	4.98393	0.0289708
116	4.92215	4.9834	0.0287259
117	5.19318	4.98519	0.0285363
118	5.10783	4.98623	0.0283134
119	5.23141	4.98829	0.0281503
120	5.72139	4.9944	0.0285709
121	4.90127	4.99363	0.0283452
122	6.2629	5.00403	0.0299614
123	4.72082	5.00173	0.0298061
124	5.02894	5.00195	0.0295666
125	5.25649	5.00398	0.0294001
126	5.00029	5.00396	0.0291668
127	5.08209	5.00457	0.0289436
128	4.57093	5.00118	0.0289151
129	4.98207	5.00103	0.0286913
130	4.61157	4.99804	0.0286266
131	5.47178	5.00166	0.0286356
132	5.19642	5.00313	0.0284566
133	4.9849	5.00299	0.028243
134	4.77051	5.00126	0.0280855
135	5.54827	5.00531	0.0281682
136	4.98424	5.00516	0.0279615
137	5.51581	5.00888	0.0280047
138	4.68604	5.00654	0.0278993
139	4.97231	5.0063	0.0276997
140	4.85077	5.00519	0.0275241
141	4.7222	5.00318	0.027402
142	4.89401	5.00241	0.0272198
143	4.72779	5.00049	0.0270971
144	4.95579	5.00018	0.0269107
145	4.91341	4.99958	0.0267318
146	5.64234	5.00398	0.0269088
147	5.34427	5.0063	0.0268251
148	5.03425	5.00649	0.0266445
149	4.69959	5.00443	0.0265452
150	5.23636	5.00597	0.0264132
151	5.01174	5.00601	0.0262383
152	5.43644	5.00884	0.0262181
153	5.01955	5.00891	0.0260468
154	4.67123	5.00672	0.0259698
155	4.95657	5.0064	0.0258043
156	4.59285	5.00375	0.0257747
157	5.76647	5.0086	0.0260643
158	4.81188	5.00736	0.0259291
159	5.21133	5.00864	0.0257977
160	4.88541	5.00787	0.025648
161	5.54606	5.01122	0.0257056
162	4.95482	5.01087	0.0255492
163	4.92738	5.01035	0.0253976
164	4.76091	5.00883	0.0252883
165	4.59476	5.00632	0.0252592
166	5.61748	5.01001	0.025374
167	4.73023	5.00833	0.0252773
168	5.37156	5.01049	0.0252191
169	4.81339	5.00933	0.0250968
170	5.56146	5.01257	0.0251585
171	4.70569	5.01078	0.0250753
172	4.58702	5.00832	0.0250502
173	4.75535	5.00685	0.0249481
174	5.43798	5.00933	0.0249274
175	4.592	5.00695	0.0248988
176	4.90366	5.00636	0.0247642
177	4.78099	5.00509	0.024657
178	4.70169	5.00338	0.0245774
179	5.11792	5.00402	0.0244484
180	5.5936	5.0073	0.024531
181	4.83489	5.00634	0.0244139
182	4.77101	5.00505	0.024314
183	4.61668	5.00293	0.0242736
184	4.66109	5.00107	0.0242127
185	5.14829	5.00187	0.0240949
186	4.95299	5.0016	0.0239668
187	4.65482	4.99975	0.0239102
188	5.0814	5.00018	0.023787
189	5.0634	5.00052	0.0236635
190	4.72127	4.99905	0.0235845
191	5.33392	5.0008	0.0235261
192	4.98006	5.00069	0.0234038
193	5.06983	5.00105	0.0232853
194	4.80569	5.00005	0.0231871
195	5.3306	5.00174	0.02313
196	5.23122	5.00291	0.0230416
197	4.99401	5.00287	0.0229247
198	4.5989	5.00083	0.0228995
199	4.74955	4.99956	0.0228193
200	4.58412	4.99749	0.0227995
201	5.03771	4.99769	0.022687
202	5.31031	4.99923	0.0226274
203	6.04906	5.00441	0.0230993
204	5.49111	5.00679	0.023109
205	4.738	5.00548	0.0230334
206	4.54849	5.00326	0.0230282
207	4.96185	5.00306	0.0229178
208	5.19457	5.00398	0.0228261
209	4.96264	5.00378	0.0227178
210	5.29715	5.00518	0.0226525
211	4.97771	5.00505	0.0225455
212	4.74795	5.00384	0.0224718
213	4.68466	5.00234	0.0224162
214	5.42384	5.00431	0.0223978
215	5.21917	5.00531	0.0223159
216	5.03658	5.00545	0.022213
217	4.75339	5.00429	0.022141
218	5.54056	5.00675	0.0221757
219	4.53894	5.00462	0.0221771
220	4.67898	5.00314	0.0221256
221	5.29653	5.00446	0.0220653
222	5.08044	5.00481	0.0219686
223	4.38687	5.00203	0.0220441
224	4.97561	5.00192	0.021946
225	4.79827	5.00101	0.0218671
226	4.50172	4.9988	0.0218817
227	4.64294	4.99724	0.0218414
228	4.51219	4.99511	0.0218489
229	5.81131	4.99867	0.0220423
230	5.02256	4.99878	0.0219467
231	4.66291	4.99732	0.0218998
232	5.19179	4.99816	0.0218215
233	4.58692	4.99639	0.0217991
234	5.84654	5.00003	0.0220066
235	4.49682	4.99789	0.0220169
236	4.67632	4.99652	0.0219657
237	4.48419	4.99436	0.0219792
238	4.94221	4.99414	0.0218879
239	5.17049	4.99488	0.0218087
240	4.63143	4.99337	0.0217704
241	5.14718	4.994	0.0216894
242	5.01282	4.99408	0.0215999
243	4.7222	4.99296	0.02154
244	5.06074	4.99324	0.0214535
245	4.71833	4.99212	0.0213953
246	5.50575	4.99421	0.0214099
247	4.75994	4.99326	0.0213442
248	5.01799	4.99336	0.0212584
249	4.72556	4.99228	0.0212002
250	5.15915	4.99295	0.0211259
251	4.96775	4.99285	0.021042
252	5.17021	4.99355	0.0209703
253	4.63497	4.99214	0.0209352
254	5.08228	4.99249	0.0208558
255	5.18073	4.99323	0.0207871
256	5.04298	4.99342	0.0207068
257	4.7295	4.9924	0.0206517
258	4.83793	4.9918	0.0205803
259	5.09	4.99218	0.0205043
260	4.74452	4.99123	0.0204476
261	5.30668	4.99243	0.0204049
262	5.40994	4.99403	0.0203892
263	4.85706	4.99351	0.0203183
264	4.80732	4.9928	0.0202536
265	5.30701	4.99399	0.0202118
266	4.33835	4.99152	0.0202856
267	4.64277	4.99022	0.0202516
268	5.31301	4.99142	0.0202118
269	5.57782	4.9936	0.0202539
270	4.76041	4.99274	0.0201973
271	4.81327	4.99207	0.0201336
272	5.47447	4.99385	0.0201376
273	5.01833	4.99394	0.020064
274	5.50614	4.99581	0.0200777
275	5.29411	4.99689	0.0200339
276	4.54355	4.99525	0.0200286
277	5.34376	4.99651	0.0199957
278	4.88289	4.9961	0.019928
279	5.29658	4.99718	0.0198856
280	5.08781	4.9975	0.0198173
281	4.88741	4.99711	0.0197506
282	4.93071	4.99687	0.019682
283	4.98855	4.99684	0.0196125
284	4.71133	4.99584	0.0195691
285	4.98239	4.99579	0.0195005
286	5.03329	4.99592	0.0194328
287	4.82389	4.99532	0.0193743
288	4.34407	4.99306	0.0194386
289	4.56691	4.99159	0.0194272
290	4.68702	4.99054	0.0193885
291	5.73211	4.99308	0.0194887
292	5.31042	4.99417	0.0194522
293	5.11756	4.99459	0.0193904
294	4.63354	4.99336	0.0193633
295	4.92294	4.99313	0.0192991
296	5.46063	4.9947	0.0192984
297	6.02564	4.99818	0.0195431
298	4.71724	4.99723	0.0195003
299	4.55755	4.99576	0.0194904
300	4.98614	4.99573	0.0194255
301	4.76679	4.99497	0.0193758
302	4.57038	4.99356	0.0193626
303	4.64865	4.99243	0.0193321
304	5.06538	4.99267	0.01927
305	5.0132	4.99273	0.019207
306	4.81171	4.99214	0.0191533
307	4.52483	4.99062	0.0191513
308	5.07512	4.99089	0.0190911
309	4.89824	4.99059	0.0190317
310	4.55339	4.98918	0.0190225
311	4.5949	4.98792	0.0190035
312	4.89835	4.98763	0.0189447
313	4.54175	4.9862	0.0189377
314	4.88066	4.98587	0.0188804
315	5.37984	4.98712	0.0188618
316	5.75986	4.98956	0.01896
317	5.01559	4.98965	0.0189004
318	5.25847	4.99049	0.0188598
319	4.29186	4.9883	0.0189274
320	5.2483	4.98911	0.0188857
321	5.46212	4.99059	0.0188843
322	4.6733	4.9896	0.0188513
323	4.6563	4.98857	0.0188212
324	5.0363	4.98872	0.0187637
325	5.00056	4.98875	0.018706
326	5.04485	4.98893	0.0186494
327	5.09864	4.98926	0.0185954
328	5.17496	4.98983	0.0185473
329	5.05836	4.99004	0.0184921
330	4.87808	4.9897	0.0184391
331	5.09799	4.99002	0.0183863
332	4.97683	4.98998	0.018331
333	4.74247	4.98924	0.018291
334	4.81736	4.98873	0.0182435
335	5.53314	4.99035	0.0182613
336	5.52563	4.99194	0.0182763
337	4.89016	4.99164	0.0182245
338	5.2309	4.99235	0.0181844
339	4.72366	4.99156	0.018148
340	5.11933	4.99193	0.0180985
341	4.54815	4.99063	0.0180922
342	4.69568	4.98977	0.0180598
343	4.67567	4.98885	0.0180304
344	5.25182	4.98962	0.0179941
345	5.3617	4.9907	0.0179743
346	5.02822	4.99081	0.0179227
347	4.51581	4.98944	0.0179232
348	5.02679	4.98954	0.017872
349	5.11029	4.98989	0.0178242
350	4.62749	4.98885	0.0178033
351	4.79324	4.9883	0.0177613
352	4.71096	4.98751	0.0177283
353	4.61771	4.98646	0.017709
354	5.42214	4.98769	0.0177017
355	5.36126	4.98874	0.0176831
356	4.64491	4.98778	0.0176598
357	4.98214	4.98776	0.0176103
358	4.79337	4.98722	0.0175695
359	4.86362	4.98688	0.0175239
360	4.68729	4.98604	0.017495
361	4.88459	4.98576	0.0174488
362	4.92851	4.9856	0.0174013
363	4.21964	4.98349	0.0174808
364	4.65003	4.98258	0.0174568
365	4.74181	4.98192	0.0174214
366	4.80519	4.98144	0.0173805
367	5.35391	4.98245	0.0173628
368	5.17238	4.98297	0.0173232
369	5.59112	4.98461	0.0173545
370	5.44222	4.98585	0.0173516
371	4.66497	4.98499	0.0173264
372	5.02784	4.9851	0.0172802
373	4.21946	4.98305	0.0173554
374	4.79567	4.98255	0.0173162
375	5.35323	4.98354	0.0172982
376	5.38534	4.98461	0.0172852
377	4.6137	4.98362	0.0172673
378	5.38202	4.98468	0.0172538
379	4.94676	4.98458	0.0172085
380	5.31213	4.98544	0.0171848
