BLOCK	ACTUAL_P	P_AVE	ERROR
178	1.48032	1.51855	0.0091567
179	1.79304	1.52009	0.00923305
180	1.4377	1.51963	0.00919309
181	1.57254	1.51992	0.00914695
182	1.29619	1.51869	0.00917892
183	1.54713	1.51885	0.00913008
184	1.26743	1.51748	0.00918214
185	1.68067	1.51836	0.00917478
186	1.58162	1.5187	0.00913175
187	1.45685	1.51837	0.00908891
188	1.29229	1.51717	0.00911977
189	1.65257	1.51789	0.00909961
190	1.45485	1.51756	0.00905777
191	1.73374	1.51869	0.00908079
192	1.65015	1.51937	0.00905927
193	1.4061	1.51879	0.00903132
194	1.41526	1.51825	0.00900052
195	1.74302	1.5194	0.00902787
196	1.57694	1.5197	0.00898658
197	1.63879	1.5203	0.00896128
198	1.50149	1.52021	0.00891652
199	1.68436	1.52103	0.00890979
200	1.34628	1.52016	0.00890798
201	1.53544	1.52023	0.00886399
202	1.53886	1.52033	0.00882058
203	1.40141	1.51974	0.00879657
204	1.49548	1.51962	0.00875425
205	1.47311	1.5194	0.00871449
206	1.56668	1.51962	0.0086752
207	1.49476	1.5195	0.00863413
208	1.46402	1.51924	0.00859674
209	1.29478	1.51816	0.00862243
210	1.46589	1.51791	0.00858496
211	1.61966	1.5184	0.00855781
212	1.44342	1.51804	0.00852474
213	1.40005	1.51749	0.0085027
214	1.42933	1.51708	0.00847294
215	1.53184	1.51715	0.00843381
216	1.49576	1.51705	0.00839535
217	1.52086	1.51706	0.00835668
218	1.56791	1.5173	0.0083216
219	1.5615	1.5175	0.00828605
220	1.60621	1.5179	0.00825819
221	1.52442	1.51793	0.00822087
222	1.32945	1.51708	0.00822757
223	1.41037	1.51661	0.00820458
224	1.48663	1.51647	0.00816904
225	1.4572	1.51621	0.00813698
226	1.34062	1.51543	0.00813798
227	1.53323	1.51551	0.00810251
228	1.41825	1.51508	0.00807819
229	1.47237	1.5149	0.00804507
230	1.57296	1.51515	0.00801405
231	1.48938	1.51504	0.00798013
232	1.40236	1.51455	0.0079605
233	1.51524	1.51455	0.00792634
234	1.62125	1.51501	0.00790557
235	1.42028	1.51461	0.0078822
236	1.5471	1.51474	0.00785
237	1.48826	1.51463	0.00781768
238	1.5924	1.51496	0.00779165
239	1.56435	1.51517	0.00776179
240	1.55726	1.51534	0.00773143
241	1.61937	1.51577	0.00771139
242	1.35887	1.51513	0.00770673
243	1.51068	1.51511	0.00767504
244	1.62451	1.51556	0.00765667
