BLOCK	ACTUAL_P	P_AVE	ERROR
179	0.667162	0.725769	0.0236184
180	1.01593	0.727381	0.0235421
181	1.21411	0.73007	0.0235651
182	0.798128	0.730444	0.0234386
183	0.610704	0.72979	0.0233197
184	0.507965	0.728584	0.0232241
185	0.235793	0.725921	0.0232508
186	0.120314	0.722665	0.0233527
187	0.96349	0.723953	0.0232633
188	0.850177	0.724624	0.0231492
189	0.415496	0.722988	0.0230844
190	1.19375	0.725466	0.0230955
191	0.972443	0.726759	0.0230108
192	0.307993	0.724578	0.0229941
193	0.400572	0.722899	0.0229361
194	0.446955	0.721477	0.022862
195	0.251832	0.719068	0.0228712
196	1.05096	0.720762	0.0228171
197	0.433056	0.719301	0.022748
198	0.643732	0.71892	0.0226363
199	1.00671	0.720366	0.0225687
200	0.66081	0.720068	0.0224578
201	0.911959	0.721023	0.0223664
202	0.543372	0.720143	0.0222729
203	0.229596	0.717727	0.0222939
204	0.739642	0.717834	0.0221849
205	1.15732	0.719978	0.02218
206	0.542703	0.719118	0.022089
207	0.867524	0.719834	0.021994
208	0.797899	0.72021	0.0218914
209	0.679042	0.720013	0.0217876
210	0.396898	0.718474	0.0217381
211	0.319062	0.716581	0.0217173
212	0.558463	0.715835	0.0216277
213	0.62313	0.7154	0.0215305
214	1.48176	0.718981	0.0217257
215	0.63896	0.718609	0.0216278
216	1.06611	0.720218	0.0215875
217	0.887889	0.720991	0.0215018
218	0.756006	0.721151	0.0214038
219	0.692375	0.72102	0.0213064
220	0.519774	0.720105	0.0212292
221	0.84859	0.720686	0.0211411
222	0.326583	0.718911	0.0211203
223	1.15719	0.720877	0.0211168
224	1.78195	0.725613	0.0215473
225	1.01864	0.726916	0.0214909
226	0.60866	0.726393	0.0214021
227	0.991419	0.72756	0.0213397
228	0.995968	0.728737	0.0212785
229	0.566967	0.728031	0.0211973
230	0.646464	0.727676	0.0211081
231	0.915507	0.728489	0.0210324
232	1.39354	0.731356	0.0211362
233	0.676489	0.73112	0.0210468
234	0.942529	0.732024	0.0209762
235	0.780443	0.73223	0.020888
236	0.273851	0.730288	0.0208896
237	0.617982	0.729814	0.0208068
238	0.537482	0.729006	0.0207351
239	1.4925	0.7322	0.020893
240	0.518878	0.731311	0.0208248
241	0.768551	0.731466	0.020739
242	0.436918	0.730249	0.020689
243	0.436726	0.729041	0.020639
244	0.619443	0.728592	0.0205593
245	0.685241	0.728415	0.0204762
246	0.327992	0.726787	0.0204576
247	0.708852	0.726714	0.0203749
248	0.392207	0.725366	0.0203373
249	0.330662	0.72378	0.0203173
250	0.925546	0.724587	0.0202521
251	0.300139	0.722896	0.0202418
252	0.91535	0.72366	0.0201759
253	0.826616	0.724067	0.0201003
254	0.569095	0.723457	0.0200304
255	0.741267	0.723527	0.019952
256	0.717091	0.723502	0.0198741
257	0.425868	0.722344	0.0198304
258	0.599806	0.721869	0.0197593
259	0.676716	0.721694	0.0196837
260	0.376767	0.720368	0.0196527
261	0.880401	0.720981	0.019587
262	1.14963	0.722617	0.0195804
263	0.610642	0.722191	0.0195106
264	0.915915	0.722925	0.0194505
265	0.819926	0.723291	0.0193805
266	0.527409	0.722555	0.0193216
267	0.628243	0.722201	0.0192525
268	2.2611	0.727943	0.0200187
269	0.718622	0.727909	0.0199443
270	1.63176	0.731256	0.0201494
271	0.326176	0.729762	0.0201304
272	0.842766	0.730177	0.0200607
273	0.782277	0.730368	0.0199881
274	1.19322	0.732057	0.0199864
275	0.522693	0.731296	0.0199282
276	0.923952	0.731994	0.0198683
277	0.742064	0.73203	0.0197966
278	0.317215	0.730538	0.0197815
279	0.230708	0.728747	0.0197916
280	0.648664	0.728461	0.019723
281	0.174502	0.726489	0.019751
282	0.693594	0.726373	0.0196813
283	1.09691	0.727682	0.0196553
284	0.837798	0.72807	0.0195899
285	0.570769	0.727518	0.019529
286	0.294306	0.726003	0.0195193
287	1.28314	0.727944	0.0195476
288	0.70228	0.727855	0.0194799
289	0.953161	0.728635	0.0194281
290	1.28545	0.730555	0.0194558
291	0.538154	0.729894	0.0194002
292	0.421325	0.728837	0.0193625
293	1.21279	0.730489	0.0193667
294	0.476	0.729623	0.0193202
295	0.418106	0.728567	0.0192835
296	0.73873	0.728601	0.0192184
297	0.984163	0.729462	0.0191729
298	0.449831	0.728523	0.0191316
299	0.629257	0.728191	0.0190705
300	0.351691	0.726936	0.0190481
301	0.0197566	0.724587	0.0191292
302	1.05418	0.725678	0.019097
303	0.661629	0.725467	0.0190351
304	0.785003	0.725663	0.0189735
305	0.792635	0.725882	0.0189126
306	0.535235	0.725259	0.018861
307	0.321286	0.723943	0.0188454
308	0.824309	0.724269	0.0187871
309	0.544607	0.723688	0.0187352
310	0.483935	0.722914	0.0186908
311	0.403736	0.721888	0.0186588
312	0.444652	0.721	0.0186202
313	0.261665	0.719532	0.0186184
314	1.60666	0.722357	0.0187723
315	1.20014	0.723874	0.0187738
316	0.740371	0.723926	0.0187145
317	0.862145	0.724362	0.0186605
318	0.866021	0.724808	0.0186072
319	0.949337	0.725512	0.0185622
320	0.666848	0.725328	0.0185051
321	0.924385	0.725948	0.0184578
322	1.09549	0.727096	0.0184361
323	0.428326	0.726171	0.0184022
324	0.513588	0.725515	0.0183571
325	0.392481	0.72449	0.0183292
326	0.520128	0.723863	0.0182837
327	1.04106	0.724833	0.0182535
328	1.41409	0.726935	0.0183184
329	0.885119	0.727416	0.018269
330	0.505997	0.726745	0.018226
331	0.724832	0.726739	0.0181709
332	0.448681	0.725901	0.0181355
333	0.323054	0.724692	0.0181213
334	0.658661	0.724494	0.0180682
335	1.65819	0.727281	0.0182279
336	0.585908	0.72686	0.0181785
337	0.662827	0.72667	0.0181256
338	0.654822	0.726458	0.0180732
339	0.303849	0.725211	0.0180628
340	0.380472	0.724197	0.0180382
341	-0.0211629	0.722011	0.0181172
342	0.85354	0.722396	0.0180683
343	0.793472	0.722603	0.0180168
344	0.800663	0.72283	0.0179659
345	1.40169	0.724798	0.0180212
346	0.896385	0.725294	0.017976
347	1.11474	0.726416	0.0179592
348	0.551629	0.725914	0.0179146
349	0.601603	0.725558	0.0178668
350	0.500705	0.724915	0.0178273
351	0.969965	0.725613	0.0177902
352	0.432471	0.72478	0.0177591
353	0.472888	0.724067	0.0177231
354	1.01349	0.724884	0.0176919
355	0.84902	0.725234	0.0176455
356	0.254462	0.723912	0.0176454
357	1.04852	0.724821	0.0176194
358	0.704889	0.724765	0.0175703
359	0.979	0.725474	0.0175356
360	0.38235	0.72452	0.0175128
361	0.444777	0.723746	0.0174814
362	0.668575	0.723593	0.0174338
363	0.265649	0.722332	0.0174314
364	0.574713	0.721926	0.0173882
365	0.908017	0.722436	0.017348
366	0.602277	0.722108	0.0173037
367	0.606211	0.721792	0.0172595
368	1.122	0.722879	0.0172468
369	1.30011	0.724444	0.0172708
370	0.819297	0.7247	0.0172261
371	0.33149	0.72364	0.0172122
372	0.387645	0.722737	0.0171896
373	1.21985	0.72407	0.0171951
374	0.387281	0.723169	0.0171727
375	0.265452	0.721949	0.0171702
376	1.31694	0.723531	0.0171973
377	0.846154	0.723856	0.0171548
378	0.959275	0.724479	0.0171207
379	0.618487	0.724199	0.0170778
380	0.68377	0.724093	0.0170332
381	0.778249	0.724235	0.0169891
382	0.311174	0.723154	0.016979
383	0.793669	0.723338	0.0169357
384	0.800692	0.723539	0.0168928
385	1.57411	0.725749	0.0169927
386	0.520375	0.725217	0.016957
387	0.829546	0.725486	0.0169154
388	0.38654	0.724613	0.0168943
389	0.577491	0.724234	0.0168551
390	1.36573	0.725879	0.016892
391	0.548337	0.725425	0.0168549
392	0.68845	0.725331	0.0168121
393	0.875021	0.725712	0.0167737
394	1.33245	0.727252	0.0168016
395	0.521431	0.726731	0.0167672
396	0.565197	0.726323	0.0167298
397	0.735674	0.726346	0.0166877
398	1.2707	0.727714	0.0167017
399	0.520618	0.727195	0.0166679
400	0.775167	0.727315	0.0166267
401	0.971414	0.727924	0.0165963
402	0.53663	0.727448	0.0165619
403	0.483179	0.726842	0.0165319
404	0.266766	0.725703	0.0165301
405	0.656774	0.725533	0.0164902
406	0.606314	0.725239	0.0164522
407	0.884282	0.72563	0.0164164
408	1.18152	0.726747	0.0164142
409	0.19351	0.725443	0.0164257
410	0.703642	0.72539	0.0163857
411	1.22935	0.726616	0.0163917
412	1.20955	0.727789	0.0163938
413	0.46573	0.727154	0.0163663
414	1.09814	0.72805	0.0163513
415	0.771302	0.728154	0.0163123
416	0.587191	0.727815	0.0162766
417	0.621801	0.727561	0.0162395
418	0.821676	0.727786	0.0162022
419	1.18414	0.728876	0.0162001
420	0.730922	0.72888	0.0161616
421	0.447739	0.728213	0.016137
422	0.61247	0.727938	0.016101
423	0.43519	0.727246	0.0160778
424	0.602639	0.726952	0.0160426
425	0.610353	0.726678	0.0160072
426	0.227495	0.725506	0.0160125
427	1.16022	0.726524	0.0160073
