#BLOCK:	ACTUAL_T:	T_AVE:	ERROR:
1	0.796471	0.796471	0
2	0.799585	0.798028	0.00110089
3	0.792842	0.796299	0.00159086
4	0.79991	0.797202	0.00142651
5	0.797247	0.797211	0.00114123
6	0.798503	0.797426	0.00097113
7	0.794746	0.797043	0.000904724
8	0.797651	0.797119	0.000794816
9	0.796355	0.797034	0.000711025
10	0.802877	0.797619	0.000846629
11	0.801422	0.797964	0.000837307
12	0.799183	0.798066	0.000773664
13	0.796614	0.797954	0.000722164
14	0.80315	0.798325	0.000759967
15	0.798996	0.79837	0.000710618
16	0.795279	0.798177	0.000691975
17	0.799721	0.798268	0.000657201
18	0.799426	0.798332	0.000623831
19	0.798581	0.798345	0.000591136
20	0.797193	0.798288	0.000564378
