#BLOCK:	ACTUAL_KE:	KE_AVE:	ERROR:
1	1.19471	1.19471	0
2	1.19938	1.19704	0.00165133
3	1.18926	1.19445	0.00238629
4	1.19987	1.1958	0.00213976
5	1.19587	1.19582	0.00171185
6	1.19775	1.19614	0.00145669
7	1.19212	1.19556	0.00135709
8	1.19648	1.19568	0.00119222
9	1.19453	1.19555	0.00106654
10	1.20432	1.19643	0.00126994
11	1.20213	1.19695	0.00125596
12	1.19877	1.1971	0.0011605
13	1.19492	1.19693	0.00108325
14	1.20472	1.19749	0.00113995
15	1.19849	1.19756	0.00106593
16	1.19292	1.19727	0.00103796
17	1.19958	1.1974	0.000985802
18	1.19914	1.1975	0.000935747
19	1.19787	1.19752	0.000886704
20	1.19579	1.19743	0.000846568
