#BLOCK:	ACTUAL_KE:	KE_AVE:	ERROR:
1	1.19131	1.19131	0
2	1.19605	1.19368	0.00167364
3	1.18502	1.19079	0.00260761
4	1.19713	1.19238	0.00238918
5	1.19605	1.19311	0.00202101
6	1.19812	1.19395	0.00184834
7	1.20017	1.19483	0.00178555
8	1.1897	1.19419	0.00167375
9	1.1975	1.19456	0.00152762
10	1.1937	1.19447	0.00137727
11	1.19026	1.19409	0.0013043
12	1.19668	1.19431	0.00121333
13	1.19053	1.19402	0.00115429
14	1.19752	1.19427	0.00109864
15	1.1906	1.19402	0.00105229
16	1.19425	1.19404	0.000986615
17	1.19064	1.19384	0.000948635
18	1.19433	1.19386	0.000896326
19	1.19253	1.19379	0.000851884
20	1.18835	1.19352	0.000851671
