#BLOCK:	ACTUAL_P:	P_AVE:	ERROR:
1	0.954197	0.954197	0
2	0.957514	0.955856	0.00117275
3	0.950116	0.953943	0.00174685
4	0.958137	0.954991	0.00159407
5	0.957396	0.955472	0.00134584
6	0.958872	0.956039	0.00123508
7	0.960228	0.956637	0.00119485
8	0.953254	0.956214	0.00111781
9	0.958574	0.956477	0.0010239
10	0.955985	0.956427	0.000922691
11	0.953467	0.956158	0.000877192
12	0.958048	0.956316	0.000818113
13	0.953661	0.956112	0.000780256
14	0.958425	0.956277	0.000741817
15	0.953682	0.956104	0.000712254
16	0.956286	0.956115	0.000667829
17	0.953776	0.955978	0.000642558
18	0.956274	0.955994	0.000607071
19	0.95518	0.955951	0.000576631
20	0.952374	0.955772	0.000574877
