#BLOCK:	ACTUAL_KE:	KE_AVE:	ERROR:
1	1.19037	1.19037	0
2	1.1968	1.19359	0.00227164
3	1.19726	1.19481	0.00181432
4	1.19568	1.19503	0.00137382
5	1.19564	1.19515	0.00110447
6	1.18604	1.19363	0.00166394
7	1.18755	1.19276	0.00163769
8	1.19235	1.19271	0.00143381
9	1.20002	1.19352	0.00148687
10	1.19258	1.19343	0.00134115
11	1.19209	1.19331	0.00122471
12	1.18996	1.19303	0.001154
13	1.19093	1.19287	0.00107648
14	1.19508	1.19303	0.00101114
15	1.19663	1.19327	0.000971935
16	1.19493	1.19337	0.000916739
17	1.19267	1.19333	0.000863737
18	1.18932	1.19311	0.000844009
19	1.19387	1.19315	0.000800535
20	1.19494	1.19324	0.000765492
