#BLOCK:	ACTUAL_KE:	KE_AVE:	ERROR:
1	1.16936	1.16936	0
2	1.17468	1.17202	0.00188074
3	1.16253	1.16886	0.00287064
4	1.17281	1.16984	0.00231713
5	1.17543	1.17096	0.00210616
6	1.17461	1.17157	0.00184067
7	1.17194	1.17162	0.00157849
8	1.17597	1.17217	0.00147168
9	1.17276	1.17223	0.00130962
10	1.17103	1.17211	0.00118419
11	1.1708	1.17199	0.00108249
12	1.16996	1.17182	0.00100548
13	1.17329	1.17194	0.000934429
14	1.174	1.17208	0.000879212
15	1.17654	1.17238	0.000869354
16	1.17331	1.17244	0.000816952
17	1.17182	1.1724	0.000769699
18	1.17314	1.17244	0.000728039
19	1.168	1.17221	0.000726343
20	1.16805	1.172	0.000719179
