#BLOCK:	ACTUAL_KE:	KE_AVE:	ERROR:
1	1.19394	1.19394	0
2	1.20045	1.1972	0.00230088
3	1.20121	1.19854	0.00188309
4	1.19672	1.19808	0.00146588
5	1.20206	1.19888	0.00137172
6	1.19768	1.19868	0.00115744
7	1.19624	1.19833	0.00104305
8	1.19572	1.198	0.000962482
9	1.1965	1.19784	0.000869895
10	1.1986	1.19791	0.000786201
11	1.19818	1.19794	0.000715113
12	1.19345	1.19756	0.000747123
13	1.19505	1.19737	0.000714277
14	1.20184	1.19769	0.000731153
15	1.19279	1.19736	0.000751923
16	1.19785	1.19739	0.000705534
17	1.20169	1.19765	0.000707938
18	1.19651	1.19758	0.000671429
19	1.19915	1.19766	0.000641114
20	1.20014	1.19779	0.000620925
