#BLOCK:	ACTUAL_T:	T_AVE:	ERROR:
1	0.756902	0.756902	0
2	0.760483	0.758692	0.00126589
3	0.758092	0.758492	0.000859594
4	0.758336	0.758453	0.000645584
5	0.754518	0.757666	0.000873029
6	0.755966	0.757383	0.000772134
7	0.759598	0.757699	0.000723785
8	0.75898	0.757859	0.000650776
9	0.760996	0.758208	0.000665283
10	0.755797	0.757967	0.00064095
11	0.757094	0.757887	0.000587574
12	0.759061	0.757985	0.000546685
13	0.756987	0.757908	0.000509998
14	0.759806	0.758044	0.000491256
15	0.757398	0.758001	0.000460391
16	0.761275	0.758206	0.000474924
17	0.756349	0.758096	0.000459374
18	0.757259	0.75805	0.0004362
19	0.756794	0.757984	0.00041822
20	0.758345	0.758002	0.0003977
