#BLOCK:	ACTUAL_T:	T_AVE:	ERROR:
1	0.794208	0.794208	0
2	0.797364	0.795786	0.00111576
3	0.790013	0.793862	0.00173841
4	0.798087	0.794918	0.00159279
5	0.797365	0.795408	0.00134734
6	0.798744	0.795964	0.00123223
7	0.800115	0.796557	0.00119036
8	0.793133	0.796129	0.00111583
9	0.798335	0.796374	0.00101841
10	0.795801	0.796317	0.000918179
11	0.793506	0.796061	0.000869533
12	0.797788	0.796205	0.000808888
13	0.793686	0.796011	0.000769527
14	0.798347	0.796178	0.000732429
15	0.793732	0.796015	0.000701524
16	0.796167	0.796024	0.000657743
17	0.793758	0.795891	0.000632424
18	0.796219	0.795909	0.000597551
19	0.795022	0.795863	0.000567923
20	0.792233	0.795681	0.000567781
