BLOCK	ACTUAL_V	V_AVE	ERROR
184	5.04589	5.02371	0.072158
185	5.61279	5.0269	0.0718381
186	4.72693	5.02529	0.07147
187	4.53265	5.02265	0.0711364
188	4.69723	5.02092	0.070779
189	3.38424	5.01226	0.0709323
190	4.47439	5.00943	0.0706154
191	5.49704	5.01198	0.0702919
192	4.21789	5.00785	0.0700473
193	6.04873	5.01324	0.0698917
194	4.52922	5.01074	0.069576
195	5.1461	5.01144	0.0692226
196	3.89913	5.00576	0.0691017
197	4.90887	5.00527	0.0687527
198	5.75186	5.00904	0.0685087
199	5.83574	5.0132	0.0682903
200	4.16175	5.00894	0.0680814
201	5.05558	5.00917	0.0677431
202	3.96504	5.004	0.0676047
203	4.04589	4.99928	0.0674362
204	6.1802	5.00507	0.0673536
205	6.22978	5.01105	0.0672895
206	4.69992	5.00954	0.0669798
207	5.09187	5.00993	0.0666574
208	4.11413	5.00563	0.0664759
209	4.41606	5.00281	0.0662177
210	6.27088	5.00884	0.0661771
211	4.54005	5.00662	0.0659008
212	5.47238	5.00882	0.0656265
213	5.94567	5.01322	0.0654656
214	5.36364	5.01486	0.0651802
215	6.46273	5.02159	0.065224
216	3.85892	5.01621	0.0651438
217	4.51056	5.01388	0.0648852
218	5.29573	5.01517	0.0646005
219	4.65682	5.01353	0.0643262
220	5.69984	5.01665	0.0641094
221	4.33672	5.01358	0.0638931
222	5.58987	5.01617	0.063658
223	6.33847	5.0221	0.0636481
224	5.26185	5.02317	0.063373
225	4.82481	5.02229	0.0630974
226	4.84833	5.02152	0.0628229
227	3.62085	5.01535	0.0628485
228	4.76845	5.01427	0.0625822
229	5.28467	5.01545	0.06232
230	4.56065	5.01347	0.0620804
231	5.12435	5.01395	0.0618135
232	5.64747	5.01668	0.0616074
233	4.72327	5.01542	0.0613558
234	4.59776	5.01364	0.0611196
235	3.52003	5.00728	0.0611891
236	3.77304	5.00205	0.0611529
237	5.35198	5.00353	0.0609127
238	4.5365	5.00157	0.0606884
239	5.47324	5.00354	0.0604665
240	4.31026	5.00065	0.0602835
241	4.17544	4.99723	0.0601305
242	5.03397	4.99738	0.0598823
243	4.22708	4.99421	0.0597197
244	4.51348	4.99224	0.0595074
245	4.12259	4.98869	0.0593703
246	4.32637	4.986	0.05919
247	6.471	4.99201	0.0592549
248	8.94144	5.00793	0.0611185
249	4.80479	5.00712	0.0608785
250	4.87087	5.00657	0.0606374
251	5.2981	5.00773	0.060407
252	4.5044	5.00574	0.0602003
253	5.06313	5.00596	0.0599627
254	5.50615	5.00793	0.059759
255	4.60625	5.00636	0.0595454
256	4.81373	5.00561	0.0593176
257	6.47266	5.01131	0.0593608
258	4.533	5.00946	0.0591596
259	4.73481	5.0084	0.0589407
260	6.64734	5.0147	0.0590502
261	3.35883	5.00836	0.0591638
262	4.03118	5.00463	0.0590554
263	4.34441	5.00212	0.0588842
264	4.16801	4.99896	0.0587458
265	4.94474	4.99875	0.0585245
266	4.5039	4.99689	0.058334
267	4.32763	4.99439	0.0581694
268	4.56074	4.99277	0.0579748
269	6.25201	4.99745	0.057948
270	5.30657	4.9986	0.0577447
271	5.51588	5.0005	0.0575631
272	4.63161	4.99915	0.0573675
273	4.54482	4.99748	0.0571815
274	5.49032	4.99928	0.0570011
275	5.2195	5.00008	0.0567994
276	6.69054	5.00621	0.0569229
277	3.16477	4.99956	0.0571043
278	5.13214	5.00004	0.0569009
279	4.2166	4.99723	0.0567661
280	4.39174	4.99507	0.0566046
281	5.76093	4.99779	0.0564687
282	3.90829	4.99393	0.0564005
283	5.95283	4.99732	0.0563029
284	3.94779	4.99362	0.0562258
285	3.6323	4.98885	0.056231
286	5.24005	4.98972	0.0560413
287	5.37754	4.99107	0.0558623
288	5.38011	4.99243	0.0556847
289	4.30618	4.99005	0.0555426
290	6.35184	4.99475	0.0555492
291	5.06191	4.99498	0.0553588
292	5.91268	4.99812	0.0552584
293	5.8649	5.00108	0.0551489
294	4.84522	5.00055	0.0549639
295	4.42059	4.99858	0.0548127
296	4.3638	4.99644	0.0546694
297	5.192	4.9971	0.0544893
298	4.59696	4.99575	0.054323
299	5.03916	4.9959	0.0541415
300	4.89064	4.99555	0.0539622
301	4.22139	4.99298	0.0538442
302	6.53134	4.99807	0.0539063
303	5.25703	4.99892	0.0537352
304	5.88516	5.00184	0.0536374
305	5.50089	5.00348	0.0534865
306	4.11733	5.00058	0.0533901
307	3.97123	4.99723	0.0533213
308	4.80373	4.9966	0.0531519
