BLOCK	ACTUAL_V	V_AVE	ERROR
183	6.48293	4.9822	0.0680134
184	4.81107	4.98127	0.0676502
185	4.03614	4.97616	0.0674771
186	7.42261	4.98931	0.0683842
187	5.03885	4.98958	0.0680191
188	3.6628	4.98252	0.0680224
189	5.10462	4.98317	0.0676655
190	6.37031	4.99047	0.0677021
191	3.8517	4.98451	0.0676097
192	4.17344	4.98028	0.0673894
193	4.4895	4.97774	0.0670882
194	4.1993	4.97373	0.0668622
195	6.59684	4.98205	0.0670355
196	4.61875	4.9802	0.0667191
197	5.13949	4.98101	0.0663853
198	5.6406	4.98434	0.0661335
199	5.54274	4.98714	0.0658607
200	4.17274	4.98307	0.0656572
201	4.15027	4.97893	0.0654611
202	3.66065	4.9724	0.0654616
203	5.05649	4.97282	0.0651404
204	4.01873	4.96814	0.0649888
205	6.22926	4.97429	0.0649623
206	4.66252	4.97278	0.0646645
207	5.13009	4.97354	0.0643566
208	4.72724	4.97235	0.0640581
209	4.58617	4.97051	0.0637782
210	6.01662	4.97549	0.0636688
211	4.10366	4.97135	0.063501
212	8.38502	4.98746	0.065211
213	3.0761	4.97848	0.0655194
214	3.23361	4.97033	0.0657186
215	3.91243	4.96541	0.0655969
216	5.87534	4.96962	0.0654283
217	4.66939	4.96824	0.0651414
218	5.93715	4.97268	0.0649941
219	4.74707	4.97165	0.0647054
220	4.89648	4.97131	0.0644122
221	5.20048	4.97235	0.0641291
222	4.21047	4.96892	0.063932
223	4.85735	4.96842	0.0636473
224	5.7164	4.97176	0.0634507
225	5.10023	4.97233	0.0631712
226	7.06575	4.98159	0.0635672
227	5.60347	4.98433	0.0633462
228	4.12136	4.98054	0.0631813
229	4.13599	4.97686	0.063013
230	5.51031	4.97918	0.0627817
231	3.65066	4.97342	0.0627728
232	5.87088	4.97729	0.0626213
233	4.50024	4.97524	0.062386
234	6.45687	4.98158	0.0624398
235	7.4891	4.99225	0.0630793
236	4.07701	4.98837	0.0629311
237	4.28903	4.98542	0.0627347
238	6.40341	4.99138	0.0627534
239	4.62248	4.98983	0.0625098
240	5.57793	4.99228	0.0622974
241	6.50796	4.99857	0.0623555
242	4.36503	4.99595	0.0621528
243	5.0783	4.99629	0.0618979
244	3.78296	4.99132	0.0618437
245	6.06928	4.99572	0.0617476
246	5.66167	4.99843	0.0615559
247	4.97528	4.99833	0.0613067
248	3.26562	4.99135	0.0614563
249	4.60987	4.98981	0.0612286
250	4.2091	4.98669	0.0610633
251	4.74283	4.98572	0.0608277
252	4.71311	4.98464	0.060596
253	5.06126	4.98494	0.0603572
254	5.41766	4.98664	0.0601436
255	6.78169	4.99368	0.0603183
256	5.06572	4.99397	0.0600834
257	5.2116	4.99481	0.0598555
258	4.57742	4.99319	0.0596454
259	5.65049	4.99573	0.0594691
260	5.78667	4.99877	0.0593181
261	3.94948	4.99475	0.0592269
262	4.40135	4.99249	0.0590442
263	5.35618	4.99387	0.0588358
264	4.13597	4.99062	0.0587027
265	6.9366	4.99797	0.0589386
266	6.96745	5.00537	0.0591803
267	4.34201	5.00289	0.0590108
268	5.1475	5.00343	0.0587931
269	4.31601	5.00087	0.05863
270	5.8696	5.00409	0.0585011
271	4.1755	5.00103	0.0583651
272	4.88519	5.0006	0.058152
273	5.62645	5.0029	0.0579842
274	5.49108	5.00468	0.0577999
275	4.65422	5.0034	0.0576038
276	3.74	4.99883	0.0575767
277	4.47903	4.99695	0.0573994
278	4.36391	4.99467	0.0572381
279	3.54605	4.98948	0.0572679
280	4.97907	4.98944	0.0570634
281	3.58781	4.98446	0.0570779
282	3.67707	4.97982	0.0570635
283	4.814	4.97923	0.0568649
284	4.7929	4.97858	0.0566684
285	4.43917	4.97668	0.0565012
286	6.3054	4.98133	0.0564943
287	5.49547	4.98312	0.0563259
288	4.87757	4.98276	0.0561315
289	6.32383	4.9874	0.0561287
290	4.993	4.98741	0.0559352
291	4.89576	4.9871	0.0557439
292	4.81059	4.9865	0.0555562
293	4.90317	4.98621	0.0553674
294	6.02054	4.98973	0.0552907
295	5.52414	4.99154	0.0551329
296	5.52614	4.99335	0.0549763
297	6.7917	4.9994	0.0551236
298	4.6282	4.99816	0.0549527
299	4.96626	4.99805	0.054769
300	6.40855	5.00275	0.0547879
301	4.95842	5.0026	0.0546061
302	5.6949	5.0049	0.0544733
303	5.71931	5.00725	0.0543446
304	4.99802	5.00722	0.0541658
305	4.28565	5.00486	0.0540399
306	4.60205	5.00354	0.0538793
307	4.48351	5.00185	0.0537304
308	7.60564	5.0103	0.0542169
309	4.41203	5.00837	0.054076
310	4.68822	5.00733	0.0539115
311	4.99142	5.00728	0.0537381
312	5.6667	5.00939	0.0536074
313	4.30921	5.00716	0.0534828
314	3.98686	5.00391	0.0534111
315	3.88922	5.00037	0.0533587
316	4.14837	4.99767	0.0532579
