#BLOCK:	ACTUAL_M:	M_AVE:	ERROR:
1	0.09414	0.09414	0
2	0.078676	0.086408	0.00546735
3	0.089596	0.0874707	0.00374675
4	0.072284	0.083674	0.00432521
5	0.06698	0.0803352	0.00457065
6	0.08257	0.0807077	0.00382402
7	0.08061	0.0806937	0.00327776
8	0.083096	0.080994	0.00288176
9	0.062132	0.0788982	0.0032351
10	0.123536	0.083362	0.00513908
11	0.063656	0.0815705	0.00497435
12	0.11092	0.0840163	0.00512595
13	0.081226	0.0838017	0.00473613
14	0.090392	0.0842724	0.00442117
15	0.098542	0.0852237	0.00422753
16	0.079862	0.0848886	0.00397657
17	0.100366	0.0857991	0.00384547
18	0.08355	0.0856741	0.00363386
19	0.103752	0.0866256	0.00356499
20	0.077756	0.0861821	0.00341421
21	0.076368	0.0857148	0.00328346
22	0.098026	0.0862744	0.00318154
23	0.091668	0.0865089	0.00305184
24	0.071452	0.0858815	0.00298847
25	0.096068	0.086289	0.00289658
26	0.098228	0.0867482	0.00282133
27	0.084836	0.0866773	0.00271773
28	0.089194	0.0867672	0.00262215
29	0.085424	0.0867209	0.00253214
30	0.097448	0.0870785	0.00247286
31	0.076458	0.0867359	0.0024167
32	0.079946	0.0865237	0.00235048
33	0.090582	0.0866467	0.00228246
34	0.104412	0.0871692	0.00227435
35	0.084464	0.0870919	0.00221069
36	0.101448	0.0874907	0.00218495
37	0.09276	0.0876331	0.00213053
38	0.08225	0.0874914	0.00207917
39	0.09096	0.0875804	0.00202776
40	0.079388	0.0873755	0.00198738
41	0.07941	0.0871813	0.00194838
42	0.067868	0.0867214	0.0019555
43	0.082202	0.0866163	0.00191285
44	0.083774	0.0865517	0.00187047
45	0.100374	0.0868589	0.00185395
46	0.065256	0.0863893	0.00187218
47	0.079494	0.0862426	0.00183809
48	0.093012	0.0863836	0.0018052
49	0.101778	0.0866978	0.00179549
50	0.079718	0.0865582	0.00176499
51	0.09147	0.0866545	0.00173301
52	0.075434	0.0864387	0.00171307
53	0.07193	0.0861649	0.00170248
54	0.06862	0.08584	0.00170167
55	0.073702	0.0856193	0.00168498
56	0.08272	0.0855676	0.00165569
57	0.078968	0.0854518	0.00163068
58	0.081466	0.0853831	0.00160401
59	0.08601	0.0853937	0.00157686
60	0.09142	0.0854941	0.00155378
61	0.086618	0.0855126	0.00152842
62	0.098478	0.0857217	0.001518
63	0.09626	0.085889	0.00150309
64	0.08048	0.0858044	0.00148198
65	0.077666	0.0856792	0.00146446
66	0.092944	0.0857893	0.0014464
67	0.061488	0.0854266	0.00146959
68	0.090138	0.0854959	0.00144961
69	0.056408	0.0850743	0.00148864
70	0.086816	0.0850992	0.00146758
71	0.084116	0.0850854	0.00144697
72	0.063846	0.0847904	0.00145664
73	0.088726	0.0848443	0.00143768
74	0.07297	0.0846838	0.00142718
75	0.082458	0.0846541	0.00140846
76	0.089162	0.0847134	0.00139117
77	0.078348	0.0846308	0.00137556
78	0.09702	0.0847896	0.00136707
79	0.082252	0.0847575	0.00135014
80	0.082542	0.0847298	0.00133355
81	0.099546	0.0849127	0.00132957
82	0.06081	0.0846188	0.00134545
83	0.088888	0.0846702	0.00133023
84	0.081118	0.0846279	0.00131506
85	0.08469	0.0846287	0.00129959
86	0.089242	0.0846823	0.00128559
87	0.069844	0.0845117	0.00128207
88	0.082398	0.0844877	0.00126773
89	0.084916	0.0844925	0.00125349
90	0.089128	0.084544	0.00124062
91	0.098586	0.0846984	0.00123655
92	0.11647	0.0850437	0.00127042
93	0.083004	0.0850218	0.00125695
94	0.087812	0.0850514	0.00124392
95	0.08344	0.0850345	0.00123095
96	0.11327	0.0853286	0.00125277
97	0.08975	0.0853742	0.00124068
98	0.09942	0.0855175	0.00123627
99	0.071048	0.0853714	0.0012324
100	0.084222	0.0853599	0.00122013
