#BLOCK:	ACTUAL_X:	X_AVE:	ERROR:
1	-188.518	-188.518	0
2	-194.545	-191.532	2.13087
3	-191.503	-191.522	1.4206
4	-180.152	-188.68	2.68236
5	-188.211	-188.586	2.14752
6	-186.59	-188.253	1.81519
7	-189.069	-188.37	1.55962
8	-181.269	-187.482	1.5974
9	-194.28	-188.238	1.58847
10	-202.776	-189.691	1.9865
11	-178.872	-188.708	2.03489
12	-201.281	-189.756	2.11793
13	-204.77	-190.911	2.24797
14	-198.448	-191.449	2.1509
15	-197.368	-191.844	2.04338
16	-188.763	-191.651	1.92472
17	-194.878	-191.841	1.82083
18	-206.071	-192.631	1.88349
19	-190.652	-192.527	1.78724
20	-190.012	-192.402	1.7023
21	-184.511	-192.026	1.66218
22	-184.659	-191.691	1.62
23	-194.719	-191.823	1.55491
24	-175.159	-191.128	1.63782
25	-198.328	-191.416	1.59743
26	-184.569	-191.153	1.55755
27	-200.172	-191.487	1.53527
28	-196.524	-191.667	1.49094
29	-195.704	-191.806	1.44601
30	-196.146	-191.951	1.40503
31	-186.634	-191.779	1.37013
32	-185.144	-191.572	1.34291
33	-193.004	-191.615	1.30292
34	-199.794	-191.856	1.28661
35	-175.591	-191.391	1.33113
36	-188.901	-191.322	1.29595
37	-182.799	-191.092	1.28124
38	-196.55	-191.235	1.25555
39	-202.024	-191.512	1.25346
40	-182.036	-191.275	1.24431
41	-197.995	-191.439	1.22471
42	-194.909	-191.521	1.19833
43	-197.382	-191.658	1.17819
44	-183.897	-191.481	1.16454
45	-204.942	-191.781	1.17645
46	-191.418	-191.773	1.15091
47	-188.781	-191.709	1.12818
48	-200.232	-191.887	1.11856
49	-211.181	-192.28	1.16297
50	-189.874	-192.232	1.14071
51	-204.854	-192.48	1.14488
52	-189.247	-192.418	1.12455
53	-173.445	-192.06	1.1589
54	-183.269	-191.897	1.14882
55	-180.151	-191.683	1.14761
56	-194.602	-191.735	1.1283
57	-191.598	-191.733	1.10851
58	-198.824	-191.855	1.09612
59	-186.7	-191.768	1.08101
60	-196.081	-191.84	1.06538
61	-195.749	-191.904	1.04984
62	-194.957	-191.953	1.03407
63	-191.581	-191.947	1.01767
64	-192.897	-191.962	1.00188
65	-193.25	-191.982	0.986659
66	-204.431	-192.17	0.989576
67	-201.638	-192.312	0.984844
68	-195.261	-192.355	0.971316
69	-194.769	-192.39	0.957868
70	-194.472	-192.42	0.944646
71	-165.463	-192.04	1.00475
72	-189.203	-192.001	0.991564
73	-189.721	-191.97	0.978472
74	-188.072	-191.917	0.966666
75	-180.629	-191.766	0.965423
76	-205.657	-191.949	0.969867
77	-177.036	-191.755	0.976417
78	-192.567	-191.766	0.963954
79	-188.002	-191.718	0.952929
80	-190.988	-191.709	0.941061
81	-184.599	-191.621	0.933528
82	-184.194	-191.531	0.926527
83	-201.403	-191.65	0.922967
84	-190.699	-191.638	0.912048
85	-194.351	-191.67	0.901877
86	-190.04	-191.651	0.891589
87	-186.346	-191.59	0.883424
88	-190.175	-191.574	0.873531
89	-209.525	-191.776	0.886695
90	-189.298	-191.748	0.87727
91	-200.671	-191.846	0.873092
92	-207.944	-192.021	0.88096
93	-193.279	-192.035	0.871591
94	-203.738	-192.159	0.871165
95	-197.167	-192.212	0.863588
96	-203.809	-192.333	0.863
97	-190.458	-192.314	0.85432
98	-190.76	-192.298	0.845749
99	-182.628	-192.2	0.842828
100	-194.498	-192.223	0.834713
