#BLOCK:	ACTUAL_M:	M_AVE:	ERROR:
1	1.00044	1.00044	0
2	0.999996	1.00022	0.000156978
3	0.99964	1.00003	0.000188942
4	0.999798	0.999969	0.000150011
5	0.999388	0.999852	0.000158699
6	0.99999	0.999875	0.000133896
7	0.999856	0.999873	0.000114797
8	0.999838	0.999868	0.000100528
9	0.999818	0.999863	8.95134e-05
10	0.999238	0.9998	0.000100011
11	0.999912	0.99981	9.14337e-05
12	0.999974	0.999824	8.4825e-05
13	0.99956	0.999804	8.06943e-05
14	0.999878	0.999809	7.51048e-05
15	0.999904	0.999815	7.03643e-05
16	0.999958	0.999824	6.65291e-05
17	0.999978	0.999833	6.32274e-05
18	0.999948	0.99984	6.0035e-05
19	0.999468	0.99982	5.99776e-05
20	0.999448	0.999801	5.97948e-05
21	0.999872	0.999805	5.70416e-05
22	0.999964	0.999812	5.49056e-05
23	0.999996	0.99982	5.30974e-05
24	0.999572	0.99981	5.18815e-05
25	0.999998	0.999817	5.03497e-05
26	0.999778	0.999816	4.84358e-05
27	0.999888	0.999818	4.67157e-05
28	0.999868	0.99982	4.50808e-05
29	0.999994	0.999826	4.39228e-05
30	0.999996	0.999832	4.28218e-05
31	0.999922	0.999835	4.1539e-05
32	0.999908	0.999837	4.03039e-05
33	0.999998	0.999842	3.93765e-05
34	0.999336	0.999827	4.09337e-05
35	0.999988	0.999832	4.00216e-05
36	0.999988	0.999836	3.91448e-05
37	0.999926	0.999838	3.81623e-05
38	0.999928	0.999841	3.72308e-05
39	0.999898	0.999842	3.6305e-05
40	0.999988	0.999846	3.55798e-05
41	0.994156	0.999707	0.000141402
42	0.998708	0.999683	0.000140022
43	0.997996	0.999644	0.000142158
44	1	0.999652	0.000139157
45	0.99992	0.999658	0.000136192
46	0.999992	0.999665	0.000133424
47	0.999922	0.999671	0.000130697
48	0.9999	0.999676	0.000128061
49	0.999932	0.999681	0.000125555
50	0.999942	0.999686	0.000123152
51	0.999906	0.99969	0.000120813
52	0.997704	0.999652	0.000124382
53	0.999992	0.999659	0.000122201
54	0.999988	0.999665	0.00012009
55	0.999934	0.99967	0.000118006
56	0.99997	0.999675	0.000116021
57	0.99978	0.999677	0.000114
58	0.99999	0.999682	0.000112162
59	0.999906	0.999686	0.000110325
60	0.999962	0.999691	0.000108582
61	0.999852	0.999693	0.000106835
62	0.999974	0.999698	0.000105207
63	0.999992	0.999702	0.000103641
64	0.999816	0.999704	0.000102037
65	0.999868	0.999707	0.000100498
66	0.999858	0.999709	9.90016e-05
67	0.99998	0.999713	9.76065e-05
68	0.999956	0.999717	9.62365e-05
69	0.999966	0.99972	9.49096e-05
70	0.999738	0.999721	9.3554e-05
71	0.999994	0.999724	9.23156e-05
72	0.999956	0.999728	9.10895e-05
73	0.999998	0.999731	8.9917e-05
74	0.99976	0.999732	8.87028e-05
75	1	0.999735	8.75922e-05
76	0.999942	0.999738	8.64819e-05
77	0.999774	0.999738	8.536e-05
78	0.999934	0.999741	8.43024e-05
79	0.999978	0.999744	8.32887e-05
80	0.999962	0.999747	8.22922e-05
81	0.999994	0.99975	8.13329e-05
82	0.99997	0.999752	8.03854e-05
83	0.999044	0.999744	7.98687e-05
84	0.999972	0.999747	7.8964e-05
85	0.999994	0.99975	7.80887e-05
86	0.99999	0.999752	7.72307e-05
87	0.99986	0.999754	7.63529e-05
88	0.999948	0.999756	7.55172e-05
89	0.999982	0.999758	7.47115e-05
90	0.999642	0.999757	7.38926e-05
91	0.999798	0.999757	7.30819e-05
92	0.999976	0.99976	7.23262e-05
93	0.985964	0.999611	0.000163976
94	0.999954	0.999615	0.000162272
95	0.999998	0.999619	0.000160614
96	0.999992	0.999623	0.000158987
97	1	0.999627	0.000157396
98	0.999008	0.999621	0.000155916
99	0.999424	0.999619	0.000154354
100	0.999994	0.999622	0.000152856
