#BLOCK:	ACTUAL_M:	M_AVE:	ERROR:
1	0.999628	0.999628	0
2	1	0.999814	0.000131522
3	0.999998	0.999875	0.000100975
4	0.999798	0.999856	7.75597e-05
5	0.999996	0.999884	6.69113e-05
6	1	0.999903	5.84858e-05
7	0.999858	0.999897	5.0488e-05
8	0.99973	0.999876	4.82934e-05
9	1	0.99989	4.48498e-05
10	1	0.999901	4.16972e-05
11	1	0.99991	3.88695e-05
12	0.999988	0.999916	3.61723e-05
13	0.999576	0.99989	4.18034e-05
14	1	0.999898	3.95469e-05
15	0.99992	0.999899	3.69376e-05
16	0.999984	0.999905	3.50049e-05
17	0.999994	0.99991	3.33371e-05
18	0.999948	0.999912	3.15518e-05
19	0.99961	0.999896	3.36602e-05
20	0.996068	0.999705	0.000189285
21	0.999872	0.999713	0.000180438
22	0.999964	0.999724	0.000172598
23	0.999996	0.999736	0.000165497
24	0.999978	0.999746	0.000158909
25	0.999998	0.999756	0.000152871
26	1	0.999766	0.000147279
27	0.99994	0.999772	0.000141966
28	0.99989	0.999776	0.000136958
29	0.999998	0.999784	0.000132449
30	1	0.999791	0.00012823
31	0.999998	0.999798	0.000124267
32	1	0.999804	0.000120544
33	1	0.99981	0.000117038
34	0.999952	0.999814	0.00011367
35	0.99999	0.999819	0.000110533
36	0.999992	0.999824	0.000107567
37	0.999988	0.999828	0.000104751
38	0.999972	0.999832	0.000102062
39	0.999972	0.999836	9.95084e-05
40	0.999988	0.99984	9.70934e-05
41	1	0.999844	9.4804e-05
42	0.999938	0.999846	9.25735e-05
43	0.99874	0.99982	9.39244e-05
44	1	0.999824	9.18787e-05
45	0.999922	0.999826	8.98627e-05
46	0.999992	0.99983	8.79814e-05
47	0.99994	0.999832	8.61406e-05
48	0.999964	0.999835	8.43897e-05
49	0.999996	0.999838	8.27314e-05
50	1	0.999842	8.114e-05
51	0.999914	0.999843	7.95614e-05
52	0.998456	0.999816	8.23809e-05
53	1	0.99982	8.08994e-05
54	1	0.999823	7.94702e-05
55	1	0.999826	7.80903e-05
56	0.99997	0.999829	7.6738e-05
57	1	0.999832	7.54504e-05
58	1	0.999835	7.42052e-05
59	0.999944	0.999837	7.29706e-05
60	0.999962	0.999839	7.17844e-05
61	0.99999	0.999841	7.06504e-05
62	0.999974	0.999843	6.95434e-05
63	0.999992	0.999846	6.84795e-05
64	0.999934	0.999847	6.74234e-05
65	0.999998	0.999849	6.64261e-05
66	1	0.999852	6.54589e-05
67	0.999992	0.999854	6.45154e-05
68	1	0.999856	6.36024e-05
69	0.999966	0.999858	6.27007e-05
70	0.999746	0.999856	6.18252e-05
71	0.999998	0.999858	6.09868e-05
72	0.999968	0.999859	6.01589e-05
73	1	0.999861	5.93656e-05
74	0.99942	0.999855	5.88622e-05
75	1	0.999857	5.8109e-05
76	0.999982	0.999859	5.73675e-05
77	0.999994	0.999861	5.66493e-05
78	1	0.999863	5.59512e-05
79	1	0.999864	5.527e-05
80	0.999962	0.999865	5.45926e-05
81	1	0.999867	5.39439e-05
82	1	0.999869	5.33104e-05
83	1	0.99987	5.26915e-05
84	0.999988	0.999872	5.20828e-05
85	0.999998	0.999873	5.14913e-05
86	0.99999	0.999875	5.09104e-05
87	0.999862	0.999874	5.03255e-05
88	0.999998	0.999876	4.97732e-05
89	1	0.999877	4.92335e-05
90	0.99996	0.999878	4.8695e-05
91	0.999978	0.999879	4.81723e-05
92	0.999976	0.99988	4.76601e-05
93	0.999984	0.999881	4.71607e-05
94	0.99998	0.999882	4.66707e-05
95	1	0.999884	4.61958e-05
96	0.999992	0.999885	4.57283e-05
97	1	0.999886	4.52723e-05
98	0.99998	0.999887	4.48205e-05
99	1	0.999888	4.43823e-05
100	1	0.999889	4.39526e-05
