#BLOCK:	ACTUAL_X:	X_AVE:	ERROR:
1	-194.956	-194.956	0
2	-189.941	-192.449	1.77307
3	-192.22	-192.373	1.18369
4	-193.873	-192.748	0.945347
5	-190.554	-192.309	0.852055
6	-187.126	-191.445	1.06112
7	-202.628	-193.043	1.73633
8	-195.263	-193.32	1.54131
9	-195.126	-193.521	1.38305
10	-187.299	-192.899	1.37759
11	-188.681	-192.515	1.30462
12	-192.494	-192.514	1.1959
13	-186.534	-192.054	1.18907
14	-187.764	-191.747	1.14293
15	-199.206	-192.244	1.16991
16	-199.158	-192.677	1.17387
17	-199.817	-193.097	1.17757
18	-192.373	-193.056	1.11283
19	-196.333	-193.229	1.06755
20	-194.828	-193.309	1.01716
21	-192.946	-193.292	0.968868
22	-186.108	-192.965	0.97831
23	-195.671	-193.083	0.942824
24	-193.736	-193.11	0.903932
25	-190.758	-193.016	0.872655
26	-186.776	-192.776	0.871462
27	-191.274	-192.72	0.84096
28	-196.496	-192.855	0.821666
29	-186.022	-192.619	0.826428
30	-193.392	-192.645	0.799282
31	-207.868	-193.136	0.911962
32	-195.805	-193.22	0.88727
33	-194.038	-193.244	0.86073
34	-186.493	-193.046	0.858016
35	-184.526	-192.802	0.867348
36	-190.004	-192.725	0.846731
37	-189.881	-192.648	0.827327
38	-191.279	-192.612	0.806339
39	-190.924	-192.569	0.786824
40	-197	-192.679	0.774913
41	-196.685	-192.777	0.762147
42	-205.5	-193.08	0.801947
43	-193.583	-193.092	0.783382
44	-194.864	-193.132	0.766613
45	-198.475	-193.251	0.758718
46	-197.869	-193.351	0.748838
47	-188.327	-193.244	0.740496
48	-193.061	-193.24	0.725079
49	-195.654	-193.29	0.711953
50	-189.9	-193.222	0.700934
51	-189.285	-193.145	0.691429
52	-185.548	-192.999	0.693395
53	-198.588	-193.104	0.688285
54	-190.538	-193.057	0.677176
55	-176.227	-192.751	0.730733
56	-195.024	-192.791	0.718811
57	-193.121	-192.797	0.706224
58	-196.097	-192.854	0.696335
59	-192.858	-192.854	0.684533
60	-190.57	-192.816	0.674181
61	-193.228	-192.823	0.663163
62	-192.722	-192.821	0.652469
63	-200.74	-192.947	0.654107
64	-199.905	-193.055	0.652861
65	-196.947	-193.115	0.645556
66	-183.905	-192.976	0.650682
67	-194.802	-193.003	0.641541
68	-187.807	-192.927	0.636641
69	-210.432	-193.18	0.67608
70	-191.444	-193.155	0.666877
71	-183.782	-193.023	0.670425
72	-184.616	-192.907	0.671206
73	-190.051	-192.868	0.66315
74	-191.599	-192.85	0.65441
75	-194.276	-192.869	0.645961
76	-198.038	-192.937	0.641031
77	-187.404	-192.866	0.63672
78	-186.879	-192.789	0.633166
79	-194.188	-192.807	0.625399
80	-190.977	-192.784	0.618
81	-184.876	-192.686	0.618033
82	-198.582	-192.758	0.614665
83	-188.879	-192.711	0.609034
84	-187.78	-192.652	0.604605
85	-188.276	-192.601	0.599681
86	-189.686	-192.567	0.593664
87	-193.906	-192.582	0.58704
88	-191.997	-192.576	0.580407
89	-201.34	-192.674	0.58218
90	-191.344	-192.66	0.575899
91	-197.338	-192.711	0.57186
92	-188.336	-192.663	0.567618
93	-195.36	-192.692	0.562255
94	-197.46	-192.743	0.558556
95	-202.342	-192.844	0.561742
96	-189.028	-192.804	0.557295
97	-196.93	-192.847	0.553171
98	-199.585	-192.916	0.551783
99	-208.86	-193.077	0.569229
100	-191.227	-193.058	0.563837
