#BLOCK:	ACTUAL_X:	X_AVE:	ERROR:
1	-7657.24	-7657.24	0
2	-7656.19	-7656.72	0.372115
3	-7651.3	-7654.91	1.49518
4	-7653.55	-7654.57	1.15952
5	-7648.31	-7653.32	1.45393
6	-7656.1	-7653.78	1.28331
7	-7654.28	-7653.85	1.10197
8	-7653.91	-7653.86	0.964249
9	-7653.74	-7653.85	0.857197
10	-7646.87	-7653.15	1.01627
11	-7654.98	-7653.32	0.937418
12	-7655.86	-7653.53	0.882875
13	-7650.23	-7653.27	0.850666
14	-7654.54	-7653.36	0.794677
15	-7654.87	-7653.46	0.747997
16	-7655.64	-7653.6	0.71347
17	-7655.92	-7653.74	0.684467
18	-7655.49	-7653.83	0.653328
19	-7648.79	-7653.57	0.670732
20	-7648.99	-7653.34	0.675108
21	-7654.42	-7653.39	0.6449
22	-7655.73	-7653.5	0.624292
23	-7656.19	-7653.61	0.60802
24	-7650.36	-7653.48	0.597623
25	-7656.22	-7653.59	0.583689
26	-7653.22	-7653.57	0.56141
27	-7654.65	-7653.61	0.542021
28	-7654.36	-7653.64	0.523322
29	-7656.16	-7653.73	0.512428
30	-7656.19	-7653.81	0.501881
31	-7655.13	-7653.85	0.487501
32	-7654.94	-7653.89	0.473454
33	-7656.22	-7653.96	0.464357
34	-7647.31	-7653.76	0.490153
35	-7656.07	-7653.83	0.480572
36	-7656.07	-7653.89	0.471249
37	-7655.19	-7653.92	0.459813
38	-7655.19	-7653.96	0.448912
39	-7654.77	-7653.98	0.437887
40	-7656.07	-7654.03	0.43005
41	-7593.68	-7652.56	1.51327
42	-7640.92	-7652.28	1.5024
43	-7632.65	-7651.83	1.53525
44	-7656.25	-7651.93	1.50364
45	-7655.07	-7652	1.47186
46	-7656.13	-7652.09	1.4426
47	-7655.09	-7652.15	1.41332
48	-7654.78	-7652.2	1.38494
49	-7655.25	-7652.27	1.35807
50	-7655.4	-7652.33	1.33235
51	-7654.93	-7652.38	1.3072
52	-7630.28	-7651.96	1.34938
53	-7656.13	-7652.03	1.32621
54	-7656.07	-7652.11	1.30376
55	-7655.28	-7652.17	1.28133
56	-7655.81	-7652.23	1.2601
57	-7653.15	-7652.25	1.23809
58	-7656.1	-7652.31	1.21853
59	-7654.88	-7652.36	1.19865
60	-7655.7	-7652.41	1.17997
61	-7654.17	-7652.44	1.16098
62	-7655.87	-7652.5	1.14357
63	-7656.13	-7652.55	1.12687
64	-7653.66	-7652.57	1.10939
65	-7654.32	-7652.6	1.09265
66	-7654.23	-7652.62	1.07638
67	-7655.95	-7652.67	1.06145
68	-7655.62	-7652.72	1.04673
69	-7655.75	-7652.76	1.03248
70	-7652.56	-7652.76	1.01774
71	-7656.16	-7652.81	1.00453
72	-7655.6	-7652.84	0.991327
73	-7656.22	-7652.89	0.978825
74	-7652.85	-7652.89	0.965597
75	-7656.25	-7652.94	0.953761
76	-7655.41	-7652.97	0.941767
77	-7653.08	-7652.97	0.929537
78	-7655.3	-7653	0.9181
79	-7655.93	-7653.04	0.907226
80	-7655.69	-7653.07	0.896492
81	-7656.16	-7653.11	0.886236
82	-7655.81	-7653.14	0.876043
83	-7644.25	-7653.03	0.872008
84	-7655.83	-7653.07	0.86226
85	-7656.16	-7653.1	0.852884
86	-7656.1	-7653.14	0.843678
87	-7654.34	-7653.15	0.834094
88	-7655.47	-7653.18	0.825033
89	-7655.99	-7653.21	0.816366
90	-7651.37	-7653.19	0.807552
91	-7653.33	-7653.19	0.798679
92	-7655.89	-7653.22	0.790538
93	-7562.22	-7652.24	1.24847
94	-7655.56	-7652.28	1.23569
95	-7656.22	-7652.32	1.22338
96	-7656.13	-7652.36	1.21128
97	-7656.25	-7652.4	1.19946
98	-7644.38	-7652.32	1.19001
99	-7648.64	-7652.28	1.17857
100	-7656.16	-7652.32	1.16742
