#BLOCK:	ACTUAL_CV:	CV_AVE:	ERROR:
1	0.00442864	0.00442864	0
2	0.000153015	0.00229083	0.00151166
3	0.00343619	0.00267262	0.00105489
4	0.00129647	0.00232858	0.000845407
5	0.00373602	0.00261007	0.000721668
6	0.000382537	0.00223881	0.000690311
7	0.00106825	0.00207159	0.000611614
8	0.00213964	0.0020801	0.000535221
9	0.00167977	0.00203561	0.000477597
10	0.00327273	0.00215933	0.000445572
11	0.00114621	0.00206722	0.000414475
12	0.000764932	0.0019587	0.000393887
13	0.00335767	0.00206631	0.000378003
14	0.00122192	0.002006	0.000355782
15	0.00122257	0.00195377	0.000335875
16	0.000687986	0.00187466	0.000324065
17	0.000458804	0.00179137	0.000315524
18	0.000764302	0.00173431	0.00030311
19	0.00526938	0.00192037	0.000339491
20	0.00335479	0.00199209	0.000330005
21	0.00152801	0.00196999	0.00031503
22	0.000458463	0.00190129	0.000308111
23	0.000153015	0.00182527	0.000303947
24	0.0036642	0.0019019	0.000300785
25	7.65075e-05	0.00182888	0.000297484
26	0.00167878	0.00182311	0.000286098
27	0.00129873	0.00180369	0.00027616
28	0.00152791	0.00179384	0.000266473
29	0.000229522	0.00173989	0.000262687
30	7.64597e-05	0.00168445	0.000259717
31	0.000840223	0.00165721	0.000252763
32	0.000916436	0.00163406	0.000245922
33	7.65075e-05	0.00158687	0.000242957
34	0.0054191	0.00169958	0.000260648
35	0.000229378	0.00165757	0.000256563
36	0.000229378	0.0016179	0.000252485
37	0.000916876	0.00159895	0.000246371
38	0.0011466	0.00158705	0.000240175
39	0.00175831	0.00159144	0.000234057
40	0.000305934	0.0015593	0.000230401
41	0.0160017	0.00191156	0.000414226
42	0.00710043	0.0020351	0.000422385
43	0.00760464	0.00216463	0.000431966
44	-2.81893e-14	0.00211543	0.00042494
45	0.00129952	0.0020973	0.000415884
46	0.000229475	0.00205669	0.00040882
47	0.00145268	0.00204384	0.000400324
48	0.00160526	0.00203471	0.000392088
49	0.00122325	0.00201815	0.000384436
50	0.000917267	0.00199613	0.000377377
51	0.00106949	0.00197796	0.000370415
52	0.00752015	0.00208454	0.000378314
53	0.000229475	0.00204954	0.000372792
54	0.000305934	0.00201725	0.000367284
55	0.00107019	0.00200003	0.000361009
56	0.000458611	0.0019725	0.000355611
57	0.0019851	0.00197272	0.000349372
58	0.000305982	0.00194399	0.000344528
59	0.00145229	0.00193565	0.000338789
60	0.000458414	0.00191103	0.000334036
61	0.00145095	0.00190349	0.000328645
62	0.000458706	0.00188019	0.00032417
63	0.000152919	0.00185277	0.000320182
64	0.00198597	0.00185485	0.000315186
65	0.00206382	0.00185807	0.000310353
66	0.00160422	0.00185422	0.000305674
67	0.000458854	0.00183339	0.000301821
68	0.000534824	0.0018143	0.000297986
69	0.000535069	0.00179576	0.000294243
70	0.00267307	0.00180829	0.000290307
71	0.000152967	0.00178498	0.000287152
72	0.000764496	0.0017708	0.000283514
73	7.65075e-05	0.00174759	0.000280578
74	0.00244395	0.001757	0.000276945
75	-2.81893e-14	0.00173358	0.000274241
76	0.000764155	0.00172082	0.000270929
77	0.00221461	0.00172723	0.000267486
78	0.00076396	0.00171489	0.000264342
79	0.000305693	0.00169705	0.000261597
80	0.00061153	0.00168348	0.000258679
81	0.000152967	0.00166458	0.000256174
82	0.000382054	0.00164894	0.000253527
83	0.00472251	0.00168597	0.000253163
84	0.000841438	0.00167592	0.000250348
85	0.000152967	0.001658	0.000248044
86	0.000229427	0.00164139	0.000245715
87	0.00122145	0.00163656	0.000242938
88	0.00114708	0.001631	0.000240241
89	0.000229233	0.00161525	0.000238057
90	0.0032831	0.00163378	0.000236133
91	0.00259801	0.00164438	0.000233775
92	0.000458757	0.00163149	0.000231589
93	0.0302303	0.00193901	0.000382144
94	0.000994117	0.00192895	0.000378211
95	7.65075e-05	0.00190945	0.000374732
96	0.000229475	0.00189195	0.000371237
97	-2.81893e-14	0.00187245	0.000367922
98	0.00433855	0.00189761	0.000365027
99	0.00389009	0.00191774	0.000361894
100	0.000229522	0.00190086	0.000358669
