N_BLOCK:	ACCEPTANCE:
1	0.496046
2	0.495822
3	0.495535
4	0.495854
5	0.495954
6	0.496369
7	0.496146
8	0.496204
9	0.49628
10	0.496344
11	0.496304
12	0.496375
13	0.496278
14	0.496227
15	0.496186
16	0.496261
17	0.496252
18	0.496242
19	0.496284
20	0.496383
