N_BLOCK:	ACCEPTANCE:
1	0.630889
2	0.631579
3	0.630323
4	0.630808
5	0.630592
6	0.630311
7	0.630097
8	0.630057
9	0.630042
10	0.630229
11	0.63043
12	0.63047
13	0.630528
14	0.630498
15	0.630463
16	0.630463
17	0.630423
18	0.630465
19	0.630625
20	0.630873
