#BLOCK:	ACTUAL_M:	M_AVE:	ERROR:
1	0.000636	0.000636	0
2	0.001494	0.001065	0.000303349
3	0.00037	0.000833333	0.000276907
4	-0.000732	0.000442	0.000397476
5	-0.003742	-0.0003948	0.000813203
6	0.001234	-0.000123333	0.000721559
7	0.001156	5.94286e-05	0.000641207
8	-4e-06	5.15e-05	0.000561105
9	0.002686	0.000344222	0.000570024
10	0.001396	0.0004494	0.000522635
11	-0.001514	0.000270909	0.000504682
12	-0.002516	3.86667e-05	0.000513288
13	-0.000742	-2.13846e-05	0.000477304
14	0.000868	4.21429e-05	0.000447418
15	-0.001406	-5.44e-05	0.00042788
16	0.000214	-3.7625e-05	0.000401466
17	-0.000606	-7.10588e-05	0.00037924
18	-0.001022	-0.000123889	0.000361832
19	-0.00061	-0.000149474	0.000343692
20	-0.002572	-0.0002706	0.000347196
