#BLOCK:	ACTUAL_X:	X_AVE:	ERROR:
1	0.2844	0.2844	0
2	0.5062	0.3953	0.0784181
3	-0.671	0.0398667	0.294881
4	1.0172	0.2842	0.306082
5	-0.0502	0.21732	0.252067
6	-0.5118	0.0958	0.237548
7	-0.4852	0.0128	0.217631
8	-0.4356	-0.04325	0.197513
9	-0.5806	-0.102956	0.18437
10	-0.4192	-0.13458	0.168624
11	0.2226	-0.102109	0.156389
12	-0.7384	-0.155133	0.15208
13	-0.629	-0.191585	0.144684
14	-0.062	-0.182329	0.134646
15	0.1714	-0.158747	0.127718
16	0.569	-0.113263	0.127578
17	0.6902	-0.066	0.12853
18	0.1034	-0.0565889	0.121733
19	-0.211	-0.0647158	0.115597
20	0.1096	-0.056	0.110145
