#BLOCK:	ACTUAL_T:	T_AVE:	ERROR:
1	1.04953	1.04953	0
2	1.14764	1.09859	0.0346839
3	1.16992	1.12236	0.0301925
4	1.20531	1.1431	0.0289006
5	1.20948	1.15638	0.0259919
6	1.22535	1.16787	0.0240683
7	1.24456	1.17883	0.0229882
8	1.22332	1.18439	0.0207765
9	1.21567	1.18786	0.0187565
10	1.21674	1.19075	0.0171018
11	1.23048	1.19436	0.0159238
12	1.22951	1.19729	0.0148637
13	1.24716	1.20113	0.0142067
14	1.2316	1.2033	0.0133576
15	1.23285	1.20527	0.0126115
16	1.21282	1.20575	0.0118321
17	1.21857	1.2065	0.0111601
18	1.21552	1.207	0.0105513
19	1.20893	1.2071	0.00999647
20	1.21214	1.20735	0.00949983
