#BLOCK:	ACTUAL_KE:	KE_AVE:	ERROR:
1	1.5743	1.5743	0
2	1.72145	1.64788	0.0520258
3	1.75488	1.68355	0.0452888
4	1.80796	1.71465	0.0433509
5	1.81423	1.73456	0.0389878
6	1.83803	1.75181	0.0361024
7	1.86683	1.76824	0.0344823
8	1.83498	1.77658	0.0311648
9	1.82351	1.7818	0.0281348
10	1.82512	1.78613	0.0256526
11	1.84572	1.79155	0.0238857
12	1.84426	1.79594	0.0222955
13	1.87074	1.80169	0.02131
14	1.8474	1.80496	0.0200364
15	1.84927	1.80791	0.0189172
16	1.81923	1.80862	0.0177481
17	1.82785	1.80975	0.0167401
18	1.82328	1.8105	0.015827
19	1.81339	1.81065	0.0149947
20	1.81822	1.81103	0.0142497
