#BLOCK:	ACTUAL_PE:	PE_AVE:	ERROR:
1	-0.107846	-0.107846	0
2	-0.311787	-0.209817	0.0721039
3	-0.34314	-0.254258	0.0602274
4	-0.425626	-0.2971	0.0584547
5	-0.362101	-0.3101	0.0481877
6	-0.392629	-0.323855	0.0420737
7	-0.387738	-0.332981	0.0370397
8	-0.370402	-0.337659	0.0327038
9	-0.359683	-0.340106	0.0291615
10	-0.361712	-0.342266	0.0263252
11	-0.398633	-0.347391	0.0244257
12	-0.382553	-0.350321	0.0225653
13	-0.386489	-0.353103	0.0210003
14	-0.39039	-0.355766	0.0196684
15	-0.428548	-0.360619	0.0189463
16	-0.407121	-0.363525	0.0179837
17	-0.390869	-0.365133	0.0169976
18	-0.417602	-0.368048	0.0163013
19	-0.427388	-0.371171	0.0157397
20	-0.421985	-0.373712	0.0151563
