#BLOCK:	ACTUAL_P:	P_AVE:	ERROR:
1	0.0517738	0.0517738	0
2	0.0585638	0.0551688	0.00240061
3	0.0595928	0.0566435	0.00200277
4	0.0623261	0.0580641	0.00194163
5	0.0602004	0.0584914	0.00159962
6	0.061211	0.0589447	0.00139576
7	0.061054	0.059246	0.00122847
8	0.0604846	0.0594008	0.00108462
9	0.0601191	0.0594806	0.00096704
10	0.0601609	0.0595487	0.000872726
11	0.0614041	0.0597173	0.000809524
12	0.0608625	0.0598128	0.000747667
13	0.0610462	0.0599076	0.000696148
14	0.061196	0.0599997	0.000652477
15	0.0624344	0.060162	0.000628844
16	0.0617193	0.0602593	0.000597026
17	0.0611358	0.0603109	0.000564128
18	0.0620236	0.060406	0.000540753
19	0.0623546	0.0605086	0.000521927
20	0.0621988	0.0605931	0.000502626
