#BLOCK:	ACTUAL_P:	P_AVE:	ERROR:
1	0.0524385	0.0524385	0
2	0.0573379	0.0548882	0.00173222
3	0.0584001	0.0560588	0.00149905
4	0.0601911	0.0570919	0.00143682
5	0.06039	0.0577515	0.00129202
6	0.0611786	0.0583227	0.00119629
7	0.0621684	0.0588721	0.00114461
8	0.0611153	0.0591525	0.00103531
9	0.0606767	0.0593218	0.000934027
10	0.060764	0.0594661	0.000851685
11	0.0614429	0.0596458	0.000792993
12	0.0613945	0.0597915	0.000740179
13	0.0622695	0.0599821	0.000707362
14	0.0614884	0.0600897	0.000664969
15	0.0615579	0.0601876	0.000627799
16	0.0606044	0.0602136	0.000589102
17	0.0608483	0.060251	0.000555631
18	0.0606748	0.0602745	0.000525261
19	0.0603558	0.0602788	0.000497633
20	0.0605361	0.0602917	0.000472918
