#BLOCK:	ACTUAL_T:	T_AVE:	ERROR:
1	1.03659	1.03659	0
2	1.17246	1.10452	0.0480384
3	1.19326	1.1341	0.0401111
4	1.24833	1.16266	0.0389435
5	1.206	1.17133	0.0321049
6	1.22631	1.18049	0.0280314
7	1.22296	1.18656	0.0246748
8	1.21148	1.18967	0.0217862
9	1.20433	1.1913	0.0194263
10	1.20576	1.19275	0.0175374
11	1.23033	1.19616	0.0162725
12	1.21961	1.19812	0.0150333
13	1.2223	1.19998	0.0139915
14	1.22486	1.20176	0.0131045
15	1.25026	1.20499	0.0126235
16	1.23603	1.20693	0.0119827
17	1.22512	1.208	0.0113255
18	1.24296	1.20994	0.0108616
19	1.24946	1.21202	0.0104871
20	1.24588	1.21371	0.0100985
