#BLOCK:	ACTUAL_KE:	KE_AVE:	ERROR:
1	1.55362	1.55362	0
2	1.74049	1.64706	0.0660654
3	1.72468	1.67293	0.0488483
4	1.76176	1.69514	0.0413778
5	1.82104	1.72032	0.0400372
6	1.87811	1.74662	0.0411037
7	1.85997	1.76281	0.0382888
8	1.84571	1.77317	0.0348767
9	1.80364	1.77656	0.0311654
10	1.79723	1.77862	0.0281174
11	1.8199	1.78238	0.0258104
12	1.84399	1.78751	0.0241649
13	1.87141	1.79397	0.0231518
14	1.91358	1.80251	0.0230208
15	1.94711	1.81215	0.0234175
16	1.88608	1.81677	0.0224052
17	1.91638	1.82263	0.0218401
18	1.8912	1.82644	0.0209564
19	1.85495	1.82794	0.0199071
20	1.92515	1.8328	0.0194961
