N_BLOCK:	ACCEPTANCE:
1	0.627986
2	0.629917
3	0.630892
4	0.630527
5	0.630515
6	0.630311
7	0.630513
8	0.630603
9	0.630943
10	0.631175
11	0.631039
12	0.631019
13	0.631066
14	0.631033
15	0.631093
16	0.630914
17	0.630943
18	0.630966
19	0.631044
20	0.631026
