#BLOCK:	ACTUAL_PE:	PE_AVE:	ERROR:
1	-5.0945	-5.0945	0
2	-5.00407	-5.04929	0.0319743
3	-5.02115	-5.03991	0.0226496
4	-4.99874	-5.02962	0.0191838
5	-5.06243	-5.03618	0.0164315
6	-5.05718	-5.03968	0.0140608
7	-5.05927	-5.04248	0.0123275
8	-4.98444	-5.03522	0.0127437
9	-5.04015	-5.03577	0.0113395
10	-5.03594	-5.03579	0.0102055
11	-5.02574	-5.03487	0.00931856
12	-5.04148	-5.03543	0.00855826
13	-5.02424	-5.03456	0.00794311
14	-5.04197	-5.03509	0.00739332
15	-5.06005	-5.03676	0.00708524
16	-5.01157	-5.03518	0.00681498
17	-5.04546	-5.03579	0.00644084
18	-5.03841	-5.03593	0.00608466
19	-5.01599	-5.03488	0.00585424
20	-5.00106	-5.03319	0.00580062
