#BLOCK:	ACTUAL_KE:	KE_AVE:	ERROR:
1	1.71787	1.71787	0
2	1.6711	1.69448	0.0165359
3	1.63483	1.6746	0.0196244
4	1.64566	1.66736	0.0159969
5	1.62065	1.65802	0.0152844
6	1.66669	1.65947	0.0128052
7	1.6617	1.65979	0.0109798
8	1.61517	1.65421	0.0109325
9	1.68459	1.65758	0.0102258
10	1.63659	1.65549	0.00941617
11	1.64332	1.65438	0.00862486
12	1.62759	1.65215	0.00819004
13	1.6306	1.65049	0.00772587
14	1.6191	1.64825	0.00749237
15	1.6706	1.64974	0.0071395
16	1.61066	1.64729	0.00709878
17	1.60838	1.64501	0.00704054
18	1.64761	1.64515	0.00665088
19	1.61215	1.64341	0.0065237
20	1.6189	1.64219	0.0063116
