#BLOCK:	ACTUAL_KE:	KE_AVE:	ERROR:
1	1.65964	1.65964	0
2	1.56567	1.61266	0.0332227
3	1.6018	1.60904	0.0223449
4	1.5915	1.60465	0.0171834
5	1.55212	1.59415	0.0166519
6	1.60256	1.59555	0.0139355
7	1.6283	1.60023	0.0127059
8	1.59945	1.60013	0.0111181
9	1.58321	1.59825	0.0100404
10	1.60067	1.59849	0.00903931
11	1.60421	1.59901	0.00823247
12	1.63803	1.60226	0.00816346
13	1.62341	1.60389	0.00769595
14	1.61961	1.60501	0.0072277
15	1.61178	1.60546	0.00675992
16	1.62864	1.60691	0.00649083
17	1.606	1.60686	0.00610923
18	1.60732	1.60688	0.00576989
19	1.60278	1.60667	0.00547026
20	1.63298	1.60798	0.00535266
