#BLOCK:	ACTUAL_T:	T_AVE:	ERROR:
1	0.930094	0.930094	0
2	0.873704	0.901899	0.0199369
3	0.883884	0.895894	0.0141668
4	0.877566	0.891312	0.0113419
5	0.863574	0.885764	0.0103416
6	0.88722	0.886007	0.00862086
7	0.871483	0.883932	0.00763489
8	0.878276	0.883225	0.00671318
9	0.875586	0.882376	0.00602069
10	0.872998	0.881438	0.00549117
11	0.894206	0.882599	0.00511317
12	0.88855	0.883095	0.00471106
13	0.864709	0.881681	0.00455603
14	0.883116	0.881783	0.00423175
15	0.876539	0.881434	0.00396405
16	0.884213	0.881607	0.0037201
17	0.836647	0.878963	0.00434072
18	0.861818	0.87801	0.00420277
19	0.884773	0.878366	0.00399662
20	0.887401	0.878818	0.00382223
