#BLOCK:	ACTUAL_T:	T_AVE:	ERROR:
1	1.11802	1.11802	0
2	1.07307	1.09554	0.0158915
3	1.03868	1.07659	0.0187556
4	1.0535	1.07081	0.0149285
5	1.08692	1.07404	0.0122856
6	1.09034	1.07675	0.0105341
7	1.08972	1.07861	0.00919077
8	1.04333	1.0742	0.00903828
9	1.07335	1.0741	0.00803451
10	1.06212	1.0729	0.00731992
11	1.04617	1.07047	0.00704642
12	1.06663	1.07015	0.00646651
13	1.06125	1.06947	0.00600526
14	1.07868	1.07013	0.00561228
15	1.06841	1.07001	0.0052393
16	1.07909	1.07058	0.00494247
17	1.05467	1.06964	0.00473953
18	1.05938	1.06907	0.00451041
19	1.05965	1.06858	0.00430018
20	1.05403	1.06785	0.00414623
