#BLOCK:	ACTUAL_KE:	KE_AVE:	ERROR:
1	1.38971	1.38971	0
2	1.29648	1.34309	0.0329638
3	1.29789	1.32802	0.0251856
4	1.29294	1.31925	0.0203592
5	1.33182	1.32177	0.0164418
6	1.28801	1.31614	0.0146326
7	1.33298	1.31855	0.0127383
8	1.36382	1.3242	0.0123391
9	1.344	1.3264	0.0111625
10	1.36753	1.33052	0.0107773
11	1.31441	1.32905	0.00989646
12	1.31843	1.32817	0.00911127
13	1.34608	1.32955	0.00851399
14	1.3463	1.33074	0.00798953
15	1.32067	1.33007	0.00748505
16	1.33764	1.33054	0.00703217
17	1.32395	1.33016	0.00662922
18	1.34511	1.33099	0.00631274
19	1.3321	1.33105	0.00598076
20	1.31707	1.33035	0.00572243
