#BLOCK:	ACTUAL_T:	T_AVE:	ERROR:
1	0.617463	0.617463	0
2	0.574541	0.596002	0.0151754
3	0.555531	0.582512	0.0149558
4	0.556223	0.57594	0.0125782
5	0.577821	0.576316	0.0100682
6	0.578643	0.576704	0.00839763
7	0.556094	0.573759	0.00769679
8	0.567041	0.57292	0.00678035
9	0.564888	0.572027	0.00608542
10	0.560434	0.570868	0.00558622
11	0.570126	0.570801	0.00507879
12	0.574605	0.571118	0.00466544
13	0.558655	0.570159	0.00440395
14	0.589342	0.571529	0.00429725
15	0.552296	0.570247	0.00419771
16	0.563098	0.5698	0.00395907
17	0.581585	0.570493	0.00378639
18	0.556549	0.569719	0.00365442
19	0.55945	0.569178	0.00350182
20	0.563235	0.568881	0.00333932
