#BLOCK:	ACTUAL_T:	T_AVE:	ERROR:
1	1.13812	1.13812	0
2	1.09625	1.11718	0.0148015
3	1.06976	1.10138	0.0162476
4	1.08056	1.09617	0.0129922
5	1.09501	1.09594	0.0103959
6	1.08792	1.0946	0.00874865
7	1.09189	1.09422	0.0075074
8	1.08258	1.09276	0.00670847
9	1.08099	1.09145	0.00608918
10	1.07299	1.08961	0.00575336
11	1.09058	1.0897	0.00523102
12	1.07864	1.08878	0.00487554
13	1.10073	1.0897	0.00458648
14	1.08703	1.0895	0.00426281
15	1.09177	1.08966	0.0039813
16	1.09704	1.09012	0.00375913
17	1.07901	1.08946	0.00359431
18	1.09023	1.08951	0.00339488
19	1.08336	1.08918	0.00323159
20	1.0708	1.08826	0.00319809
