#BLOCK:	ACTUAL_T:	T_AVE:	ERROR:
1	0.926474	0.926474	0
2	0.864317	0.895395	0.0219758
3	0.865258	0.885349	0.0167904
4	0.861961	0.879502	0.0135728
5	0.887882	0.881178	0.0109612
6	0.858673	0.877427	0.00975505
7	0.888651	0.879031	0.00849223
8	0.909211	0.882803	0.00822607
9	0.896003	0.88427	0.00744166
10	0.911687	0.887012	0.00718484
11	0.876275	0.886036	0.00659764
12	0.878952	0.885445	0.00607418
13	0.897389	0.886364	0.00567599
14	0.897535	0.887162	0.00532635
15	0.880449	0.886714	0.00499003
16	0.891762	0.88703	0.00468811
17	0.882631	0.886771	0.00441948
18	0.896738	0.887325	0.00420849
19	0.888067	0.887364	0.00398718
20	0.878044	0.886898	0.00381495
