#BLOCK:	ACTUAL_KE:	KE_AVE:	ERROR:
1	1.70221	1.70221	0
2	1.61272	1.65746	0.0316395
3	1.64951	1.65481	0.0212037
4	1.62218	1.64665	0.0174014
5	1.64534	1.64639	0.0139231
6	1.63086	1.6438	0.0118409
7	1.62603	1.64126	0.0104181
8	1.66579	1.64433	0.00955642
9	1.64426	1.64432	0.0084946
10	1.65229	1.64512	0.00768239
11	1.64183	1.64482	0.0069898
12	1.64188	1.64457	0.00641161
13	1.65331	1.64525	0.00595355
14	1.63186	1.64429	0.00560457
15	1.64237	1.64416	0.00523239
16	1.62194	1.64277	0.00508641
17	1.66127	1.64386	0.00490216
18	1.64165	1.64374	0.00463135
19	1.6553	1.64435	0.00442741
20	1.70232	1.64725	0.00506685
