#BLOCK:	ACTUAL_T:	T_AVE:	ERROR:
1	1.0537	1.0537	0
2	1.0261	1.0399	0.00975638
3	1.03095	1.03692	0.0069459
4	1.01819	1.03224	0.00660072
5	1.02237	1.03026	0.00556785
6	1.01328	1.02743	0.00531075
7	1.01914	1.02625	0.00468224
8	1.01044	1.02427	0.00449438
9	1.0029	1.0219	0.00457942
10	1.01443	1.02115	0.00418194
11	1.00454	1.01964	0.0040653
12	1.02707	1.02026	0.00377333
13	1.0267	1.02075	0.00351547
14	1.03955	1.0221	0.00351133
15	1.01513	1.02163	0.00330784
16	1.0383	1.02267	0.00326109
17	1.01565	1.02226	0.00309533
18	1.00569	1.02134	0.00305725
19	1.00742	1.02061	0.0029828
20	1.006	1.01988	0.0029217
