#BLOCK:	ACTUAL_KE:	KE_AVE:	ERROR:
1	1.39514	1.39514	0
2	1.31056	1.35285	0.0299053
3	1.32583	1.34384	0.0212502
4	1.31635	1.33697	0.0170128
5	1.29536	1.32865	0.0155124
6	1.33083	1.32901	0.0129313
7	1.30723	1.3259	0.0114523
8	1.31741	1.32484	0.0100698
9	1.31338	1.32356	0.00903103
10	1.3095	1.32216	0.00823675
11	1.34131	1.3239	0.00766975
12	1.33283	1.32464	0.00706659
13	1.29706	1.32252	0.00683404
14	1.32467	1.32267	0.00634762
15	1.31481	1.32215	0.00594607
16	1.32632	1.32241	0.00558015
17	1.25497	1.31844	0.00651109
18	1.29273	1.31702	0.00630416
19	1.32716	1.31755	0.00599493
20	1.3311	1.31823	0.00573335
