#BLOCK:	ACTUAL_T:	T_AVE:	ERROR:
1	1.12455	1.12455	0
2	1.06467	1.09461	0.0211716
3	1.07448	1.0879	0.01514
4	1.06042	1.08103	0.012819
5	1.10195	1.08521	0.010917
6	1.09923	1.08755	0.00934418
7	1.09903	1.08919	0.00815206
8	1.05167	1.0845	0.00837411
9	1.08818	1.08491	0.00745362
10	1.08593	1.08501	0.00670895
11	1.07871	1.08444	0.00612349
12	1.08784	1.08472	0.00561977
13	1.07801	1.08421	0.00521116
14	1.09074	1.08467	0.00485977
15	1.1019	1.08582	0.00466955
16	1.06923	1.08478	0.00449135
17	1.09277	1.08525	0.00425162
18	1.08736	1.08537	0.00401703
19	1.07302	1.08472	0.00385785
20	1.06385	1.08368	0.0038034
