#BLOCK:	ACTUAL_P:	P_AVE:	ERROR:
1	0.847823	0.847823	0
2	0.829184	0.838503	0.00658983
3	0.832051	0.836353	0.00473118
4	0.823821	0.83322	0.00446688
5	0.825608	0.831697	0.00382411
6	0.818929	0.829569	0.00373217
7	0.822961	0.828625	0.00331624
8	0.817471	0.827231	0.00318135
9	0.813206	0.825673	0.00318678
10	0.820487	0.825154	0.00290999
11	0.813468	0.824092	0.00283275
12	0.829942	0.824579	0.00263831
13	0.829239	0.824938	0.00245959
14	0.838533	0.825909	0.00246818
15	0.820643	0.825558	0.00232847
16	0.837563	0.826308	0.00230065
17	0.821333	0.826015	0.00218386
18	0.814004	0.825348	0.00216208
19	0.815311	0.82482	0.00211184
20	0.814129	0.824285	0.00207279
