#BLOCK:	ACTUAL_KE:	KE_AVE:	ERROR:
1	1.70718	1.70718	0
2	1.64438	1.67578	0.0222022
3	1.60464	1.65206	0.0243714
4	1.62084	1.64426	0.0194883
5	1.64251	1.64391	0.0155938
6	1.63188	1.6419	0.013123
7	1.63784	1.64132	0.0112611
8	1.62387	1.63914	0.0100627
9	1.62149	1.63718	0.00913377
10	1.60949	1.63441	0.00863004
11	1.63588	1.63454	0.00784652
12	1.61796	1.63316	0.00731332
13	1.6511	1.63454	0.00687971
14	1.63055	1.63426	0.00639422
15	1.63765	1.63448	0.00597194
16	1.64556	1.63518	0.0056387
17	1.61852	1.6342	0.00539147
18	1.63535	1.63426	0.00509232
19	1.62504	1.63378	0.00484739
20	1.6062	1.6324	0.00479714
