#BLOCK:	ACTUAL_P:	P_AVE:	ERROR:
1	0.743369	0.743369	0
2	0.703164	0.723267	0.0142145
3	0.710679	0.719071	0.0100766
4	0.70537	0.715646	0.00811874
5	0.695238	0.711564	0.00745067
6	0.713078	0.711816	0.00621316
7	0.700463	0.710194	0.00553321
8	0.705262	0.709578	0.00487579
9	0.704196	0.70898	0.00437056
10	0.702352	0.708317	0.00398343
11	0.717232	0.709128	0.00370283
12	0.713604	0.709501	0.003413
13	0.696135	0.708472	0.00330169
14	0.709951	0.708578	0.00306754
15	0.7044	0.708299	0.00287566
16	0.711053	0.708472	0.00270107
17	0.676853	0.706612	0.00311745
18	0.693115	0.705862	0.00303309
19	0.712325	0.706202	0.00289246
20	0.71328	0.706556	0.0027694
