#BLOCK:	ACTUAL_PE:	PE_AVE:	ERROR:
1	-5.10775	-5.10775	0
2	-5.06056	-5.08416	0.0166835
3	-5.02553	-5.06462	0.0194498
4	-5.0373	-5.05779	0.0157409
5	-5.01113	-5.04845	0.0151074
6	-5.05819	-5.05008	0.0126765
7	-5.05243	-5.05041	0.01087
8	-5.00518	-5.04476	0.0108827
9	-5.0749	-5.04811	0.0101758
10	-5.02725	-5.04602	0.00936962
11	-5.03101	-5.04466	0.00861661
12	-5.01529	-5.04221	0.00823881
13	-5.0203	-5.04052	0.00777561
14	-5.0091	-5.03828	0.00753729
15	-5.0615	-5.03983	0.00719202
16	-5.00088	-5.03739	0.00714255
17	-4.99844	-5.0351	0.00708037
18	-5.03884	-5.03531	0.00669006
19	-5.00315	-5.03362	0.00654855
20	-5.00836	-5.03235	0.00634176
