#BLOCK:	ACTUAL_KE:	KE_AVE:	ERROR:
1	1.68682	1.68682	0
2	1.597	1.64191	0.0317574
3	1.61172	1.63185	0.02271
4	1.59063	1.62154	0.0192284
5	1.65293	1.62782	0.0163755
6	1.64885	1.63133	0.0140163
7	1.64855	1.63379	0.0122281
8	1.57751	1.62675	0.0125612
9	1.63227	1.62736	0.0111804
10	1.62889	1.62752	0.0100634
11	1.61806	1.62666	0.00918523
12	1.63177	1.62708	0.00842966
13	1.61701	1.62631	0.00781674
14	1.6361	1.62701	0.00728966
15	1.65285	1.62873	0.00700433
16	1.60385	1.62718	0.00673703
17	1.63915	1.62788	0.00637744
18	1.63104	1.62806	0.00602554
19	1.60953	1.62708	0.00578677
20	1.59578	1.62552	0.0057051
