#BLOCK:	ACTUAL_T:	T_AVE:	ERROR:
1	1.14525	1.14525	0
2	1.11407	1.12966	0.0110239
3	1.08989	1.1164	0.0130829
4	1.0971	1.11158	0.0106646
5	1.08043	1.10535	0.0101896
6	1.11113	1.10631	0.00853677
7	1.1078	1.10652	0.0073199
8	1.07678	1.10281	0.00728834
9	1.12306	1.10506	0.00681719
10	1.09106	1.10366	0.00627745
11	1.09555	1.10292	0.00574991
12	1.08506	1.10143	0.00546003
13	1.08707	1.10033	0.00515058
14	1.0794	1.09883	0.00499491
15	1.11373	1.09982	0.00475967
16	1.07377	1.0982	0.00473252
17	1.07226	1.09667	0.00469369
18	1.09841	1.09677	0.00443392
19	1.07477	1.09561	0.00434914
20	1.07927	1.09479	0.00420773
